Codes;Eng;Ru;Uzb
726582005;Opiate therapy;Опиатная терапия;Opioid terapiya
1515351000168101;Opioid agonist treatment;Лечение агонистами опиоидов;Opioid agonistlari bilan davolash
252158001;Opioid screening;Скрининг на опиоиды;Opioidlarga skrining
719416003;Opioid therapy for breathlessness management;Опиоидная терапия для контроля одышки;Nafas qisishini boshqarish uchun opioid terapiya
62593004;Opponensplasty by hypothenar muscle transfer;Оппоненспластика с переносом мышц гипотенара;Gipotenar mushakni ko‘chirish orqali opponensplastika
77234004;Opponensplasty by sublimis tendon transfer type;Оппоненспластика с переносом сухожилия типа sublimis;Sublimis payini ko‘chirish turi orqali opponensplastika
74186009;Opponensplasty by tendon transfer with graft;Оппоненспластика с переносом сухожилия с трансплантатом;Transplantat bilan pay ko‘chirish orqali opponensplastika
84090000;Opponensplasty of hand;Оппоненспластика кисти;Qo‘l opponensplastikasi
185528003;Opportunistic screening;Оппортунистический скрининг;Opportunistik skrining
265114005;Opposition transfer to thumb;Перенос для оппозиции большого пальца;Bosh barmoq uchun opponensiya ko‘chirish
239605003;Opposition transfer to thumb using abductor digiti minimi;Перенос для оппозиции большого пальца с использованием abductor digiti minimi;Abductor digiti minimi yordamida bosh barmoq opponensiyasi uchun ko‘chirish
278449005;Opposition transfer to thumb using abductor pollicis longus;Перенос для оппозиции большого пальца с использованием abductor pollicis longus;Abductor pollicis longus yordamida bosh barmoq opponensiyasi uchun ko‘chirish
239604004;Opposition transfer to thumb using extensor indicis;Перенос для оппозиции большого пальца с использованием extensor indicis;Extensor indicis yordamida bosh barmoq opponensiyasi uchun ko‘chirish
239603005;Opposition transfer to thumb using flexor digitorum superficialis;Перенос для оппозиции большого пальца с использованием flexor digitorum superficialis;Flexor digitorum superficialis yordamida bosh barmoq opponensiyasi uchun ko‘chirish
166161001;Opsonisation function test;Тест функции опсонизации;Opsonizatsiya funksiyasi testi
252877002;Optical axis deviation plot;График отклонения оптической оси;Optik o‘q og‘ishi grafigi
252868009;Optical axis deviation test;Тест отклонения оптической оси;Optik o‘q og‘ishi testi
392010000;Optical coherence tomography;Оптическая когерентная томография;Optik kogerent tomografiya
1303745001;Optical coherence tomography of anterior segment of eye;Оптическая когерентная томография переднего сегмента глаза;Ko‘z old segmentining optik kogerent tomografiyasi
426241002;Optical coherence tomography of eye region;Оптическая когерентная томография области глаза;Ko‘z sohasining optik kogerent tomografiyasi
1303746000;Optical coherence tomography of posterior segment of eye;Оптическая когерентная томография заднего сегмента глаза;Ko‘z orqa segmentining optik kogerent tomografiyasi
700070005;Optical coherence tomography of retina;Оптическая когерентная томография сетчатки;To‘r pardaning optik kogerent tomografiyasi
121826005;Optical density measurement;Измерение оптической плотности;Optik zichlikni o‘lchash
1237125003;Optical dermatoscopy of skin;Оптическая дерматоскопия кожи;Terining optik dermatoskopiyasi
397520005;Optical pachymetry;Оптическая пахиметрия;Optik paximetriya
410490007;Optical penalisation therapy;Терапия оптической пенализацией;Optik penalizatsiya terapiyasi
176355007;Optical urethrotomy;Оптическая уретротомия;Optik uretrotomiya
57569002;Opticociliary neurectomy;Оптикоцилиарная нейрэктомия;Optikotsiliar nevrektomiya
713842001;Optimisation of ACE inhibitor therapy;Оптимизация терапии ингибиторами АПФ;ACE ingibitorlari terapiyasini optimallashtirish
395067002;Optimisation of drug dosage;Оптимизация дозировки лекарств;Dori dozasini optimallashtirish
713838004;Optimisation of medicine;Оптимизация медикаментозной терапии;Dori vositalarini optimallashtirish
473202005;Optimisation of medicine for COPD;Оптимизация медикаментозной терапии при ХОБЛ;KOAH uchun dori terapiyasini optimallashtirish
370986001;Optimization of growth potential;Оптимизация потенциала роста;O‘sish potensialini optimallashtirish
40128007;Optochin susceptibility test;Тест чувствительности к оптохину;Optoxin sezuvchanlik testi
73933001;Optokinetic nystagmus test;Тест оптокинетического нистагма;Optokinetik nistagm testi
34651001;Optokinetic nystagmus test, bidirectional, with recording;Тест оптокинетического нистагма, двунаправленный, с регистрацией;Optokinetik nistagm testi, ikki yo‘nalishda, yozib olish bilan
303782000;Oral and dental contrast procedure;Оральная и стоматологическая контрастная процедура;Og‘iz va stomatologik kontrast muolaja
281791007;Oral antibiotic therapy;Пероральная антибиотикотерапия;Peroral antibiotik terapiya
718024008;Oral antipsychotic therapy;Пероральная антипсихотическая терапия;Peroral antipsixotik terapiya
266719004;Oral chemotherapy;Пероральная химиотерапия;Peroral kimyoterapiya
51534007;Oral chemotherapy for malignant neoplasm;Пероральная химиотерапия при злокачественном новообразовании;Yomon sifatli o‘sma uchun peroral kimyoterapiya
1,3859E+15;Oral commissuroplasty;Комиссуропластика полости рта;Og‘iz burchagi plastika operatsiyasi
185645001;Oral contraceptive check - first call;Контроль пероральной контрацепции — первый визит;Og‘iz orqali kontratsepsiya nazorati — birinchi tashrif
185646000;Oral contraceptive check - second call;Контроль пероральной контрацепции — второй визит;Og‘iz orqali kontratsepsiya nazorati — ikkinchi tashrif
185647009;Oral contraceptive check - third call;Контроль пероральной контрацепции — третий визит;Og‘iz orqali kontratsepsiya nazorati — uchinchi tashrif
308423005;Oral contraceptive check call;Контроль пероральной контрацепции;Og‘iz orqali kontratsepsiya nazorati
252501005;Oral diagnostic probing;Диагностическое зондирование полости рта;Og‘iz bo‘shlig‘ini diagnostik zondlash
122856003;Oral examination;Осмотр полости рта;Og‘iz bo‘shlig‘ini tekshirish
1073231000168106;Oral fluency assessment;Оценка речевой беглости;Og‘iz nutqi ravonligini baholash
391578006;Oral fluid benzodiazepine level;Уровень бензодиазепинов в оральной жидкости;Og‘iz suyuqligida benzodiazepin darajasi
391567003;Oral fluid cocaine level;Уровень кокаина в оральной жидкости;Og‘iz suyuqligida kokain darajasi
1753891000168107;Oral fluid drug screen;Скрининг наркотиков в оральной жидкости;Og‘iz suyuqligida giyohvand moddalar skriningi
391568008;Oral fluid methadone level;Уровень метадона в оральной жидкости;Og‘iz suyuqligida metadon darajasi
391517005;Oral fluid morphine level;Уровень морфина в оральной жидкости;Og‘iz suyuqligida morfin darajasi
391508005;Oral fluid opiate level;Уровень опиатов в оральной жидкости;Og‘iz suyuqligida opiatlar darajasi
281798001;Oral fluid replacement;Замещение оральной жидкости;Og‘iz suyuqligini to‘ldirish
782816002;Oral fluid substance level;Уровень веществ в оральной жидкости;Og‘iz suyuqligida moddalar darajasi
385742007;Oral fluid therapy assessment;Оценка терапии оральной гидратации;Og‘iz orqali suyuqlik terapiyasini baholash
385743002;Oral fluid therapy education;Обучение терапии оральной гидратации;Og‘iz orqali suyuqlik terapiyasi bo‘yicha ta’lim
385744008;Oral fluid therapy management;Ведение терапии оральной гидратации;Og‘iz orqali suyuqlik terapiyasini boshqarish
252824007;Oral fluorescence imaging;Флуоресцентная визуализация полости рта;Og‘iz bo‘shlig‘ining floresans tasvirlash
312600002;Oral frenectomy;Френэктомия полости рта;Og‘iz frenektomiyasi
243085009;Oral health education;Обучение гигиене полости рта;Og‘iz bo‘shlig‘i gigiyenasi bo‘yicha ta’lim
386375006;Oral health maintenance;Поддержание здоровья полости рта;Og‘iz bo‘shlig‘i sog‘lig‘ini saqlash
1284927000;Oral health programme;Программа здоровья полости рта;Og‘iz bo‘shlig‘i sog‘liq dasturi
386376007;Oral health promotion;Профилактика заболеваний полости рта;Og‘iz bo‘shlig‘i sog‘ligini mustahkamlash
386377003;Oral health restoration;Восстановление здоровья полости рта;Og‘iz bo‘shlig‘i sog‘ligini tiklash
717778001;Oral hygiene;Гигиена полости рта;Og‘iz bo‘shlig‘i gigiyenasi
58707002;Oral hygiene education;Обучение гигиене полости рта;Og‘iz gigiyenasi bo‘yicha ta’lim
117645008;Oral hypoglycaemic identification;Идентификация пероральных гипогликемических средств;Peroral gipoglikemik vositalarni aniqlash
234662004;Oral implant receptor site preparation;Подготовка ложа для дентального имплантата;Dental implant joyini tayyorlash
252504002;Oral inflammatory sinus tract probing;Зондирование воспалительного синусного тракта полости рта;Og‘izdagi yallig‘langan sinus yo‘lini zondlash
232675003;Oral intubation awake;Оральная интубация в сознании;Hushyor holatda og‘iz orqali intubatsiya
234931000;Oral irrigation;Оральное орошение;Og‘izni yuvish
311707005;Oral motor exercises;Оральные моторные упражнения;Og‘iz motor mashqlari
311561005;Oral motor regime;Оральный моторный режим;Og‘iz motor rejimi
311567009;Oral motor stimulation;Оральная моторная стимуляция;Og‘iz motor stimulyatsiyasi
311706001;Oral motor therapy;Оральная моторная терапия;Og‘iz motor terapiyasi
448556005;Oral nutritional support;Пероральная нутритивная поддержка;Peroral oziqlantirish qo‘llab-quvvatlashi
1624721000168109;Oral penicillin challenge;Пероральная проба с пенициллином;Peroral penitsillin sinovi
252521006;Oral provocation test;Оральный провокационный тест;Og‘iz orqali provokatsion test
16560241000119104;Oral radionuclide therapy;Пероральная радионуклидная терапия;Peroral radionuklid terapiya
183284000;Oral rehabilitation;Оральная реабилитация;Og‘iz reabilitatsiyasi
243222002;Oral rehydration therapy;Оральная регидратационная терапия;Og‘iz orqali regidratatsiya terapiyasi
284010004;Oral sedation;Оральная седация;Og‘iz orqali sedatsiya
311562003;Oral sensory stimulation;Оральная сенсорная стимуляция;Og‘iz sezgi stimulyatsiyasi
297280007;Oral steroid therapy;Пероральная стероидная терапия;Peroral steroid terapiya
183473005;Oral surgical emergency hospital admission;Экстренная госпитализация по стоматологическим показаниям;Stomatologik shoshilinch kasalxonaga yotqizish
89003005;Oral temperature taking;Измерение температуры оральным способом;Og‘iz orqali harorat o‘lchash
312097006;Oral vestibuloplasty using graft;Вестибулопластика полости рта с использованием трансплантата;Transplantat bilan og‘iz vestibuloplastikasi
406906002;Orange G stain method;Метод окрашивания Orange G;Orange G bo‘yash usuli
406907006;Orange II stain method;Метод окрашивания Orange II;Orange II bo‘yash usuli
388585001;Orange specific IgE antibody measurement;Определение специфических IgE-антител к апельсину;Apelsinga xos IgE antitanalarni aniqlash
45097009;Orbicularis oculi reflex test;Тест рефлекса круговой мышцы глаза;Ko‘z aylana mushagi refleksi testi
120090001;Orbit closure;Закрытие глазницы;Ko‘z kosasini yopish
120097003;Orbit manipulation;Манипуляции на глазнице;Ko‘z kosasida manipulyatsiya
120094005;Orbit transplant;Трансплантация глазницы;Ko‘z kosasi transplantatsiyasi
241452002;Orbital B scan;В-сканирование глазницы;Ko‘z kosasi B-skani
35710000;Orbital fasciotomy;Фасциотомия глазницы;Ko‘z kosasi fassiyotomiyasi
231555004;Orbital floor implant operation;Операция имплантации в дно глазницы;Ko‘z kosasi tubiga implant o‘rnatish operatsiyasi
287413003;Orbital implant insertion;Введение имплантата в глазницу;Ko‘z kosasiga implant kiritish
303453000;Orbital osteotomy;Остеотомия глазницы;Ko‘z kosasi osteotomiyasi
231557007;Orbital tissue volume enhancement;Увеличение объёма тканей глазницы;Ko‘z kosasi to‘qimalari hajmini oshirish
33085008;Orbital venography;Венография глазницы;Ko‘z kosasi venografiyasi
398328001;Orbitectomy;Орбитэктомия;Orbitektomiya
75149001;Orbitotomy;Орбитотомия;Orbitotomiya
70656009;Orbitotomy with bone flap;Орбитотомия с костным лоскутом;Suyak flap bilan orbitotomiya
80206000;Orbitotomy with bone flap by lateral approach, Kroenlein, with decompression;Орбитотомия с костным лоскутом латеральным доступом по Кронлейну с декомпрессией;Kroenlein usuli bilan lateral yondashuv orqali dekompressiya bilan orbitotomiya
46790005;Orbitotomy with bone flap by lateral approach, Kroenlein, with drainage;Орбитотомия с костным лоскутом латеральным доступом по Кронлейну с дренированием;Kroenlein usuli bilan lateral yondashuv orqali drenaj bilan orbitotomiya
31754004;Orbitotomy with insertion of implant;Орбитотомия с введением имплантата;Implant kiritish bilan orbitotomiya
8,20641E+14;Orbitozygomatic craniotomy;Орбито-скуловая краниотомия;Orbitozigomatik kraniotomiya
117321004;Orcein stain method;Метод окрашивания орсеином;Orsein bo‘yash usuli
120001005;Orchidectomy;Орхиэктомия;Orxidektomiya
85419002;Orchidopexy;Орхиопексия;Orxidopeksiya
25041004;Orchidopexy, any type, with hernia repair;Орхиопексия любого типа с пластикой грыжи;Churra plastika bilan har qanday turdagi orxidopeksiya
265192008;Orchidoplasty;Орхидопластика;Orxidoplastika
386378008;Order transcription;Транскрипция назначения;Buyruqlarni transkripsiya qilish
388701005;Oregano specific IgE antibody measurement;Определение специфических IgE-антител к орегано;Oreganoga xos IgE antitanalarni aniqlash
43782000;Organ or system related test;Исследование, связанное с органом или системой;Organ yoki tizimga oid tekshiruv
386379000;Organ procurement facilitation;Содействие получению органа;Organ olishni ta’minlash
271298009;Organ retrieval operation;Операция по извлечению органа;Organ olish operatsiyasi
8,00691E+14;Organ retrieval operation from donor after brain death;Операция по извлечению органа от донора после смерти мозга;Miya o‘limidan keyin donor dan organ olish operatsiyasi
8,00741E+14;Organ retrieval operation from donor after circulatory death;Операция по извлечению органа от донора после остановки кровообращения;Qon aylanish to‘xtaganidan keyin donor dan organ olish operatsiyasi
81081008;Organic acid screen;Скрининг органических кислот;Organik kislotalar skriningi
76803000;Organic acid screen, qualitative;Качественный скрининг органических кислот;Organik kislotalar skriningi, sifat jihatidan
69828006;Organic acid screen, quantitative;Количественный скрининг органических кислот;Organik kislotalar skriningi, miqdoriy
104838009;Organic acids measurement;Измерение органических кислот;Organik kislotalarni o‘lchash
414972007;Organic chemical level;Определение уровня органических химических веществ;Organik kimyoviy moddalar darajasi
121827001;Organic sulfate measurement;Измерение органических сульфатов;Organik sulfatlarni o‘lchash
1156959004;Organisation of housing adapted to meet physical needs;Организация жилья с учётом физических потребностей;Jismoniy ehtiyojlarga moslashtirilgan turar joyni tashkil etish
183358008;Organised games;Организованные игры;Tashkillashtirilgan o‘yinlar
300617009;Organised games therapy;Терапия с использованием организованных игр;Tashkillashtirilgan o‘yinlar terapiyasi
385986009;Organising medicines for self-administration;Организация лекарств для самостоятельного приёма;Dori vositalarini mustaqil qabul qilish uchun tashkil etish
115307000;Organism count;Подсчёт микроорганизмов;Mikroorganizmlar sonini aniqlash
117357009;Organism count, microscopic method;Подсчёт микроорганизмов микроскопическим методом;Mikroskopik usulda mikroorganizmlar sonini aniqlash
250480000;Organism inhibition test;Тест подавления роста микроорганизмов;Mikroorganizmlarni bostirish testi
250476005;Organism killing test;Тест уничтожения микроорганизмов;Mikroorganizmlarni yo‘q qilish testi
104172004;Organism specific culture;Культура, специфичная для микроорганизма;Mikroorganizmlarga xos madaniyat
250470004;Organism type determination;Определение типа микроорганизма;Mikroorganizmlar turini aniqlash
252401007;Organism typing;Типирование микроорганизмов;Mikroorganizmlarni tiplashtirish
168192008;Organism virulence test;Тест вирулентности микроорганизмов;Mikroorganizmlar virulentligi testi
104839001;Organochloride measurement;Измерение органохлоридов;Organoxloridlarni o‘lchash
121255009;Organophosphate pesticide identification;Идентификация органофосфатных пестицидов;Organofosfat pestitsidlarni aniqlash
117607007;Organophosphate pesticides screen;Скрининг органофосфатных пестицидов;Organofosfat pestitsidlar skriningi
392534000;Oriental cockroach specific IgE antibody measurement;Определение специфических IgE-антител к восточному таракану;Sharqiy tarakanga xos IgE antitanalarni aniqlash
228546003;Orientation training;Тренинг ориентации;Orientatsiya treningi
104840004;Ornithine carbamoyltransferase measurement;Измерение орнитин-карбамоилтрансферазы;Ornitin karbamoiltransferaza o‘lchovi
104841000;Ornithine measurement;Измерение орнитина;Ornitin o‘lchovi
243091006;Orofacial defect cleansing education;Обучение очищению орофациальных дефектов;Orofasial nuqsonlarni tozalash bo‘yicha ta’lim
1165691000168109;Orofacial function assessment;Оценка орофациальной функции;Orofasial funksiyani baholash
229913009;Orogastric feeding;Оро-гастральное кормление;Orogastrik oziqlantirish
232700002;Oropharyngeal blind suction;Слепая аспирация из ротоглотки;Ko‘r usulda orofaringeal aspiratsiya
232699003;Oropharyngeal suction under direct vision;Аспирация из ротоглотки под прямым контролем;To‘g‘ridan-to‘g‘ri nazorat ostida orofaringeal aspiratsiya
84856008;Oropharyngeal suctioning;Аспирация из ротоглотки;Orofaringeal aspiratsiya
1454491000168101;Oropharyngeal swab COVID-19 nucleic acid assay;Мазок из ротоглотки на нуклеиновую кислоту COVID-19;Orofaringeal surtma COVID-19 nuklein kislota testi
104842007;Orotate phosphoribosyltransferase measurement;Измерение оротат-фосфорибозилтрансферазы;Orotat fosforiboziltransferaza o‘lchovi
43247002;Orotic acid measurement;Измерение оротовой кислоты;Orotik kislota o‘lchovi
121828006;Orotidine measurement;Измерение оротидина;Orotidin o‘lchovi
104843002;Orotidine-5'-phosphate decarboxylase measurement;Измерение оротидин-5'-фосфат декарбоксилазы;Orotidin-5'-fosfat dekarboksilaza o‘lchovi
232678001;Orotracheal fibreoptic intubation;Оротрахеальная фиброоптическая интубация;Fiberoptik orotraxeal intubatsiya
232674004;Orotracheal intubation;Оротрахеальная интубация;Orotraxeal intubatsiya
232702005;Orotracheal suction;Оротрахеальная аспирация;Orotraxeal aspiratsiya
105273006;Orphenadrine measurement;Определение орфенадрина;Orfenadrin miqdorini aniqlash
121829003;Orthocresol measurement;Определение ортокрезола;Ortokrezol miqdorini aniqlash
243092004;Orthodontic appliance care education;Обучение уходу за ортодонтическим аппаратом;Ortodontik apparatga parvarish bo‘yicha ta’lim
89291005;Orthodontic dental consultation and report;Ортодонтическая консультация и заключение;Ortodontik stomatologik konsultatsiya va xulosa
16177004;Orthodontic procedure;Ортодонтическая процедура;Ortodontik muolaja
71369009;Orthodontic service;Ортодонтическая услуга;Ortodontik xizmat
1258951009;Orthodontic surgical procedure;Ортодонтическая хирургическая процедура;Ortodontik jarrohlik muolajasi
281182001;Orthodontic technical procedure;Ортодонтическая техническая процедура;Ortodontik texnik muolaja
229270007;Orthofunction technique;Ортoфункциональная техника;Ortofunksional texnika
239365006;Orthognathic assessment and planning;Ортогнатическая оценка и планирование;Ortognatik baholash va rejalashtirish
239371000;Orthognathic fanned laser imaging;Ортогнатическая лазерная визуализация веерного типа;Ortognatik ventilyatorli lazer tasvirlash
78807007;Orthognathic operation of mandible;Ортогнатическая операция на нижней челюсти;Pastki jag‘ning ortognatik operatsiyasi
7,78341E+14;Orthognathic operation of maxilla;Ортогнатическая операция на верхней челюсти;Yuqori jag‘ning ortognatik operatsiyasi
239368008;Orthognathic surgery on photographs;Ортогнатическая хирургия по фотографиям;Fotosuratlar asosida ortognatik jarrohlik
239369000;Orthognathic surgery on radiographs;Ортогнатическая хирургия по рентгенограммам;Rentgenogrammalar asosida ortognatik jarrohlik
239370004;Orthognathic video imaging analysis;Ортогнатический видеоанализ;Ortognatik video tasvir tahlili
414980000;Orthokeratology;Ортокератология;Ortokeratologiya
423204009;Orthopaedic assessment;Ортопедическая оценка;Ortopedik baholash
68081006;Orthopaedic class in walking training, musculoskeleta;Ортопедическое занятие по обучению ходьбе, опорно-двигательный аппарат;Yurish bo‘yicha ortopedik mashg‘ulot, tayanch-harakat tizimi
288161003;Orthopaedic device application;Применение ортопедического устройства;Ortopedik moslamani qo‘llash
288162005;Orthopaedic device removal;Удаление ортопедического устройства;Ortopedik moslamani olib tashlash
183461005;Orthopaedic emergency hospital admission;Экстренная госпитализация в ортопедии;Ortopedik shoshilinch kasalxonaga yotqizish
88875005;Orthopaedic examination under general anaesthesia;Ортопедическое обследование под общей анестезией;Umumiy anesteziya ostida ortopedik tekshiruv
7649003;Orthopaedic procedure on head;Ортопедическая процедура на голове;Bosh sohasida ortopedik muolaja
183696002;Orthopaedic self-referral;Самообращение к ортопеду;Ortopedga mustaqil murojaat
308744006;Orthopaedic ultrasound scan;Ортопедическое ультразвуковое исследование;Ortopedik ultratovush tekshiruvi
89846007;Orthopantography;Ортопантомография;Ortopantomografiya
122288004;Orthopoxvirus identification;Идентификация ортопоксвируса;Ortopoksvirusni aniqlash
243207007;Orthoptic full time occlusion treatment - partial occlusion;Ортоптическое лечение полной окклюзией — частичная окклюзия;Ortoptik to‘liq vaqtli okklyuziya davolash — qisman okklyuziya
243208002;Orthoptic full time occlusion treatment - total occlusion;Ортоптическое лечение полной окклюзией — полная окклюзия;Ortoptik to‘liq vaqtli okklyuziya davolash — to‘liq okklyuziya
243205004;Orthoptic occlusion treatment;Ортоптическое лечение окклюзией;Ortoptik okklyuziya davolash
243206003;Orthoptic occlusion treatment - full-time;Ортоптическое лечение окклюзией — круглосуточное;Ortoptik okklyuziya davolash — to‘liq vaqtli
252847008;Orthoptic test;Ортоптический тест;Ortoptik test
40505001;Orthoptic training;Ортоптическое обучение;Ortoptik trening
266740003;Orthoptic treatment;Ортоптическое лечение;Ortoptik davolash
243214009;Orthoptic treatment - Fresnel prisms;Ортоптическое лечение — призмы Френеля;Ortoptik davolash — Fresnel prizmalari
243209005;Orthoptic treatment - part-time total occlusion;Ортоптическое лечение — частичная полная окклюзия;Ortoptik davolash — qisman vaqtli to‘liq okklyuziya
243210000;Orthoptic treatment - uniocular penalisation;Ортоптическое лечение — униокулярная пенализация;Ortoptik davolash — bir ko‘zli penalizatsiya
419154004;Orthoptic treatment -prism in spectacles;Ортоптическое лечение — призма в очках;Ortoptik davolash — ko‘zoynakdagi prizma
243218007;Orthoptic treatment Fresnel prisms - base down;Ортоптическое лечение призмы Френеля — основание вниз;Ortoptik davolash Fresnel prizmalari — pastga yo‘nalgan baza
243215005;Orthoptic treatment Fresnel prisms - base in;Ортоптическое лечение призмы Френеля — основание внутрь;Ortoptik davolash Fresnel prizmalari — ichkariga yo‘nalgan baza
243219004;Orthoptic treatment Fresnel prisms - base oblique;Ортоптическое лечение призмы Френеля — косое основание;Ortoptik davolash Fresnel prizmalari — qiya baza
243216006;Orthoptic treatment Fresnel prisms - base out;Ортоптическое лечение призмы Френеля — основание кнаружи;Ortoptik davolash Fresnel prizmalari — tashqariga yo‘nalgan baza
243217002;Orthoptic treatment Fresnel prisms - base up;Ортоптическое лечение призмы Френеля — основание вверх;Ortoptik davolash Fresnel prizmalari — yuqoriga yo‘nalgan baza
243211001;Orthoptic treatment penalisation - atropine and minus lenses;Ортоптическое лечение пенализацией — атропин и минусовые линзы;Ortoptik penalizatsiya davolash — atropin va minus linzalar
243212008;Orthoptic treatment penalisation - atropine and miotic;Ортоптическое лечение пенализацией — атропин и миотик;Ortoptik penalizatsiya davolash — atropin va miotik
243213003;Orthoptic treatment penalisation - atropine only;Ортоптическое лечение пенализацией — только атропин;Ortoptik penalizatsiya davolash — faqat atropin
285785004;Orthoptic treatment penalisation with lenses;Ортоптическое лечение пенализацией с линзами;Ortoptik penalizatsiya davolash linzalar bilan
63832006;Orthoptic-pleoptic evaluation with medical interpretation;Ортоптико-плеоптическая оценка с медицинской интерпретацией;Ortoptik-pleoptik baholash tibbiy interpretatsiya bilan
88482003;Orthoptic-pleoptic treatment;Ортоптико-плеоптическое лечение;Ortoptik-pleoptik davolash
26464002;Orthotic bracing;Ортезирование;Ortezlash
72594006;Orthotic check-out readjustment;Контроль и коррекция ортеза;Ortezni tekshirish va qayta sozlash
14490000;Orthotic device construction and fitting;Изготовление и подгонка ортеза;Ortez qurish va moslashtirish
46209003;Orthotic evaluation for brace fitting;Оценка для подбора ортеза;Ortez tanlash uchun baholash
18157004;Orthotic procedure;Ортезная процедура;Ortez muolajasi
75313008;Orthotic splinting;Шинирование ортезом;Ortez bilan shinalash
11924009;Orthotics training of upper extremities;Обучение использованию ортезов верхних конечностей;Yuqori qo‘l-oyoqlar uchun ortezdan foydalanish bo‘yicha trening
232974001;Orthotopic allotransplant of heart;Ортотопическая аллотрансплантация сердца;Yurakning ortotopik allotransplantatsiyasi
174425003;Orthotopic liver transplant;Ортотопическая трансплантация печени;Jigar ortotopik transplantatsiyasi
699736009;Orthotopic repair of urinary bladder;Ортотопическое восстановление мочевого пузыря;Siydik pufagini ortotopik tiklash
426356008;Orthotopic transplant of whole liver;Ортотопическая трансплантация всей печени;Butun jigar ortotopik transplantatsiyasi
5304008;Orthovoltage X-ray therapy;Рентгенотерапия ортoвольтного диапазона;Orto-volt rentgen terapiyasi
22981002;Ortolani's test;Тест Ортолани;Ortolani testi
127779003;Oscillating positive expiratory pressure (flutter) physiotherapy;Физиотерапия с осциллирующим положительным экспираторным давлением (флаттер);Tebranma ijobiy ekspirator bosim (flutter) fizioterapiyasi
440524004;Oscillating tracking test with recording;Осциллирующий тест слежения с регистрацией;Yozuv bilan tebranma kuzatish testi
121417002;Osmium measurement;Определение осмия;Osmiy miqdorini aniqlash
250730005;Osmolal gap measurement;Определение осмоляльной разницы;Osmolyar tafovutni aniqlash
29056004;Osmolality measurement;Определение осмоляльности;Osmolyallikni aniqlash
81436003;Osmolality measurement, calculated;Определение осмоляльности, расчётное;Hisoblangan osmolyallikni aniqlash
44628004;Osmolality measurement, serum;Определение осмоляльности сыворотки;Zardob osmolyalligini aniqlash
78888000;Osmolality measurement, urine;Определение осмоляльности мочи;Siydik osmolyalligini aniqlash
412857008;Osmolality urine / serum ratio measurement;Определение соотношения осмоляльности мочи и сыворотки;Siydik/zardob osmolyalligi nisbatini aniqlash
104433006;Osmolar gap measurement, serum;Определение осмолярной разницы сыворотки;Zardob osmolyar tafovutini aniqlash
104432001;Osmolar gap measurement, urine;Определение осмолярной разницы мочи;Siydik osmolyar tafovutini aniqlash
1494008;Osmolarity measurement;Определение осмолярности;Osmolyarlikni aniqlash
113039000;Osmotic fragility;Осмотическая хрупкость;Osmotik mo‘rtlik
117246001;Osmotic fragility test, RBC dilution method;Тест осмотической хрупкости, метод разведения эритроцитов;Eritrotsit suyultirish usuli bilan osmotik mo‘rtlik testi
27107005;Osmotic fragility, immediate;Осмотическая хрупкость, немедленная;Osmotik mo‘rtlik, darhol
47043008;Osmotic fragility, incubated;Осмотическая хрупкость, инкубированная;Osmotik mo‘rtlik, inkubatsiyalangan
43643006;Ossiculectomy of middle ear;Оссикуэктомия среднего уха;O‘rta quloq ossikulektomiyasi
41530005;Ossiculectomy with stapedectomy;Оссикуэктомия со стапедэктомией;Ossikulektomiya stapektomiya bilan
73934007;Ossiculectomy with stapes mobilisation;Оссикуэктомия с мобилизацией стремени;Ossikulektomiya uzangini mobilizatsiya qilish bilan
59081004;Ossiculectomy with tympanoplasty;Оссикуэктомия с тимпанопластикой;Ossikulektomiya timpanoplastika bilan
79518006;Ossiculectomy with tympanoplasty revision;Оссикуэктомия с ревизией тимпанопластики;Ossikulektomiya timpanoplastika reviziyasi bilan
172684008;Ossiculoplasty using artificial prosthesis;Оссикулапластика с использованием искусственного протеза;Sun’iy protez yordamida ossikuloplastika
172685009;Ossiculoplasty using biological graft;Оссикулапластика с использованием биологического трансплантата;Biologik transplantat bilan ossikuloplastika
1197744003;Ossiculoplasty with partial ossicular replacement prosthesis;Оссикулапластика с частичным протезом замещения слуховых косточек;Qisman ossikulyar almashtirish protezi bilan ossikuloplastika
713185007;Ossiculoplasty with total ossicular replacement prosthesis;Оссикулапластика с полным протезом замещения слуховых косточек;To‘liq ossikulyar almashtirish protezi bilan ossikuloplastika
12158004;Ostectomy for graft of mandible;Остэктомия для трансплантата нижней челюсти;Pastki jag‘ transplantati uchun osteektomiya
49983005;Ostectomy of calcaneus for spur;Остэктомия пяточной кости при шпоре;Tovon suyagida shpora uchun osteektomiya
3,001E+12;Ostectomy of carpal bone;Остэктомия костей запястья;Bilak suyaklarining osteektomiyasi
3,011E+12;Ostectomy of carpal bone with internal fixation;Остэктомия костей запястья с внутренней фиксацией;Ichki fiksatsiya bilan bilak suyaklarining osteektomiyasi
1034581000168105;Ostectomy of distal radius;Остэктомия дистального отдела лучевой кости;Radius distal qismining osteektomiyasi
3,021E+12;Ostectomy of fibula;Остэктомия малоберцовой кости;Fibula osteektomiyasi
3,031E+12;Ostectomy of fibula with internal fixation;Остэктомия малоберцовой кости с внутренней фиксацией;Ichki fiksatsiya bilan fibula osteektomiyasi
