Code,Code,Uz,Ru,Eng,,,,Uz,Ru,Eng,,category 
emdoc-0010-0249,185,Komission qon olishni qayd etish,Регистрация комиссионного забора крови,Register of commission blood collection,,,,185 Komission qon olishni qayd etish,185 Регистрация комиссионного забора крови,185 Register of commission blood collection,,Журнал
emdoc-0010-0250,186,"OIV infeksiyasiga polimeraza zanjirli reaksiya (PZR-DNK, VYU) usulida tekshirilgan shaxslarni ro‘yxatga olish","Регистрация лиц, обследованных на ВИЧ-инфекцию методом полимеразной цепной реакции (ПЦР-ДНК, ВН)","Register of persons tested for HIV infection by polymerase chain reaction (PCR-DNA, viral load)",,,,"186 OIV infeksiyasiga polimeraza zanjirli reaksiya (PZR-DNK, VYU) usulida tekshirilgan shaxslarni ro‘yxatga olish","186 Регистрация лиц, обследованных на ВИЧ-инфекцию методом полимеразной цепной реакции (ПЦР-ДНК, ВН)","186 Register of persons tested for HIV infection by polymerase chain reaction (PCR-DNA, viral load)",,Журнал
emdoc-0010-0251,187,OIV infeksiyali bemorlarni immunologik CD4 hujayralarga tekshiruvlari,Иммунологическое исследование CD4 у ВИЧ-пациентов,CD4 cell testing of HIV patients,,,,187 OIV infeksiyali bemorlarni immunologik CD4 hujayralarga tekshiruvlari,187 Иммунологическое исследование CD4 у ВИЧ-пациентов,187 CD4 cell testing of HIV patients,,Журнал
emdoc-0010-0252,188,Qon namunalarini OIVga IFA usulida tekshiruvlarni qayd etish,Регистрация исследований образцов крови на ВИЧ методом ИФА,Register of HIV testing of blood samples by ELISA method,,,,188 Qon namunalarini OIVga IFA usulida tekshiruvlarni qayd etish,188 Регистрация исследований образцов крови на ВИЧ методом ИФА,188 Register of HIV testing of blood samples by ELISA method,,Журнал
emdoc-0010-0253,189,Biomateriallarni laboratoriya,Лаборатория биоматериалов,Biomaterials laboratory,,,,189 Biomateriallarni laboratoriya,189 Лаборатория биоматериалов,189 Biomaterials laboratory,,Журнал
emdoc-0010-0254,190,OIV musbat natijali namunalarni qayd qilish,Регистрация образцов с положительным результатом на ВИЧ,Registration of HIV-positive samples,,,,190 OIV musbat natijali namunalarni qayd qilish,190 Регистрация образцов с положительным результатом на ВИЧ,190 Registration of HIV-positive samples,,Журнал
emdoc-0010-0255,191,OIVga PZR usulida tekshirilgan bemorlarni qayd etish,"Регистрация пациентов, обследованных на ВИЧ методом ПЦР",Register of patients tested for HIV by PCR,,,,191 OIVga PZR usulida tekshirilgan bemorlarni qayd etish,"191 Регистрация пациентов, обследованных на ВИЧ методом ПЦР",191 Register of patients tested for HIV by PCR,,Журнал
emdoc-0010-0256,192,Bemorlarni CD4 hujayralariga tekshiruv natijalarini qayd etish,Регистрация результатов исследования CD4-клеток у пациентов,Register of patients’ CD4 cell test results,,,,192 Bemorlarni CD4 hujayralariga tekshiruv natijalarini qayd etish,192 Регистрация результатов исследования CD4-клеток у пациентов,192 Register of patients’ CD4 cell test results,,Журнал
emdoc-0010-0257,193,Yaroqsiz namunalarni qayd etish,Регистрация непригодных образцов,Register of invalid (unusable) samples,,,,193 Yaroqsiz namunalarni qayd etish,193 Регистрация непригодных образцов,193 Register of invalid (unusable) samples,,Журнал
emdoc-0010-0258,194,Qon topshirgan donorga beriladigan ma’lumotnomalarni qayd etish,"Регистрация справок, выдаваемых донорам крови",Register of certificates issued to blood donors,,,,194 Qon topshirgan donorga beriladigan ma’lumotnomalarni qayd etish,"194 Регистрация справок, выдаваемых донорам крови",194 Register of certificates issued to blood donors,,Журнал
emdoc-0010-0259,195,Donorlar bo‘limiga murojaat qilgan beg‘araz donorlarni ro‘yxatga olish,"Регистрация безвозмездных доноров, обратившихся в донорский отдел",Registration of voluntary donors applying to the donor unit,,,,195 Donorlar bo‘limiga murojaat qilgan beg‘araz donorlarni ro‘yxatga olish,"195 Регистрация безвозмездных доноров, обратившихся в донорский отдел",195 Registration of voluntary donors applying to the donor unit,,Журнал
emdoc-0010-0260,196,Donorni hisobga olish kartasi,Карта учёта донора,Donor registration card,,,,196 Donorni hisobga olish kartasi,196 Карта учёта донора,196 Donor registration card,,Бланк
emdoc-0010-0261,197,ABO tizimidagi standart va rezusga qarshi zardobni tayyorlash uchun kelgan mahsulotni qayd etish,"Регистрация продукции, поступившей для приготовления стандартных сывороток системы АВО и анти-резус",Registration of materials received for preparation of ABO standard and anti-Rh sera,,,,197 ABO tizimidagi standart va rezusga qarshi zardobni tayyorlash uchun kelgan mahsulotni qayd etish,"197 Регистрация продукции, поступившей для приготовления стандартных сывороток системы АВО и анти-резус",197 Registration of materials received for preparation of ABO standard and anti-Rh sera,,Журнал
emdoc-0010-0262,198,Donorlardan plazma va sitaferez usuli bilan qon komponentlarini tayyorlashni hisobga olish,Учёт заготовки компонентов крови от доноров методом плазмафереза и цитафереза,Accounting of blood component preparation from donors by plasmapheresis and cytapheresis,,,,198 Donorlardan plazma va sitaferez usuli bilan qon komponentlarini tayyorlashni hisobga olish,198 Учёт заготовки компонентов крови от доноров методом плазмафереза и цитафереза,198 Accounting of blood component preparation from donors by plasmapheresis and cytapheresis,,Журнал
emdoc-0010-0263,199,Beg‘araz donor kartasi,Карта безвозмездного донора,Voluntary donor card,,,,199 Beg‘araz donor kartasi,199 Карта безвозмездного донора,199 Voluntary donor card,,Бланк
emdoc-0010-0264,200,Komissiya ishtirokida OIV infeksiyasiga qon olishni qayd etish jurnali,Журнал комиссионного забора крови на ВИЧ,Register of commission blood collection for HIV,,,,200 Komissiya ishtirokida OIV infeksiyasiga qon olishni qayd etish jurnali,200 Журнал комиссионного забора крови на ВИЧ,200 Register of commission blood collection for HIV,,Журнал
emdoc-0010-0265,201,To‘liq qon tayyorlashni hisobga olish jurnali,Журнал учёта заготовки цельной крови,Whole blood procurement register,,,,201 To‘liq qon tayyorlashni hisobga olish jurnali,201 Журнал учёта заготовки цельной крови,201 Whole blood procurement register,,Журнал
emdoc-0010-0266,202,ABO tizimi bo‘yicha tayyorlangan standart va rezusga qarshi zardobni qayd etish,Учёт стандартных сывороток АВО и анти-Rh,Register of ABO and anti-Rh sera,,,,202 ABO tizimi bo‘yicha tayyorlangan standart va rezusga qarshi zardobni qayd etish,202 Учёт стандартных сывороток АВО и анти-Rh,202 Register of ABO and anti-Rh sera,,Журнал
emdoc-0010-0267,203,Donorlar qon guruhi va rezus-faktori natijalarini qayd etish,Регистрация группы крови и Rh доноров,Register of donor blood group and Rh,,,,203 Donorlar qon guruhi va rezus-faktori natijalarini qayd etish,203 Регистрация группы крови и Rh доноров,203 Register of donor blood group and Rh,,Журнал
emdoc-0010-0268,204,Qonni brutsellyozga serologik tekshirishni qayd etish jurnali,Журнал серологии крови на бруцеллёз,Brucellosis serology register,,,,204 Qonni brutsellyozga serologik tekshirishni qayd etish jurnali,204 Журнал серологии крови на бруцеллёз,204 Brucellosis serology register,,Журнал
emdoc-0010-0269,205,Konservalangan qon va uning komponentlarini sterilizatsiya tekshiruvini qayd,Регистрация стерильности консервированной крови,Sterility testing register of stored blood,,,,205 Konservalangan qon va uning komponentlarini sterilizatsiya tekshiruvini qayd,205 Регистрация стерильности консервированной крови,205 Sterility testing register of stored blood,,Журнал
emdoc-0010-0270,206,Yaroqsiz qon komponentlarini yo‘q qilish jurnali,Журнал уничтожения непригодных компонентов крови,Disposal log of unusable blood components,,,,206 Yaroqsiz qon komponentlarini yo‘q qilish jurnali,206 Журнал уничтожения непригодных компонентов крови,206 Disposal log of unusable blood components,,Журнал
emdoc-0010-0271,207,Beg‘araz donorlardan tayyorlangan qon komponentlarini hisobga olish jurnali,Учёт компонентов крови от добровольных доноров,Register of components from voluntary donors,,,,207 Beg‘araz donorlardan tayyorlangan qon komponentlarini hisobga olish jurnali,207 Учёт компонентов крови от добровольных доноров,207 Register of components from voluntary donors,,Журнал
emdoc-0010-0272,208,Kriopretsipitat tayyorlashni qayd etish,Регистрация приготовления криопреципитата,Cryoprecipitate preparation register,,,,208 Kriopretsipitat tayyorlashni qayd etish,208 Регистрация приготовления криопреципитата,208 Cryoprecipitate preparation register,,Журнал
emdoc-0010-0273,209,Plazma tayyorlashni qayd etish jurnali,Журнал заготовки плазмы,Plasma preparation register,,,,209 Plazma tayyorlashni qayd etish jurnali,209 Журнал заготовки плазмы,209 Plasma preparation register,,Журнал
emdoc-0010-0274,210,Yuvilgan eritrotsitlarni tayyorlashni qayd etish,Учёт приготовления отмытых эритроцитов,Washed RBC preparation register,,,,210 Yuvilgan eritrotsitlarni tayyorlashni qayd etish,210 Учёт приготовления отмытых эритроцитов,210 Washed RBC preparation register,,Журнал
emdoc-0010-0275,211,Davolash profilaktika muassasalariga beriladigan tayyor qon mahsulotlarini qayd,Учёт готовых препаратов крови для ЛПУ,Register of blood products issued to facilities,,,,211 Davolash profilaktika muassasalariga beriladigan tayyor qon mahsulotlarini qayd,211 Учёт готовых препаратов крови для ЛПУ,211 Register of blood products issued to facilities,,Журнал
emdoc-0010-0276,212,Qon komponentlarini qon zahiralarini boshqarish bo‘limiga qabul qilishni,Приём компонентов крови в банк крови,Acceptance of blood components to blood bank,,,,212 Qon komponentlarini qon zahiralarini boshqarish bo‘limiga qabul qilishni,212 Приём компонентов крови в банк крови,212 Acceptance of blood components to blood bank,,Журнал
emdoc-0010-0277,213,Qon tarkibi qismlari va preparatlarini olish uchun talabnoma,Заявка на компоненты и препараты крови,Request for blood components/products,,,,213 Qon tarkibi qismlari va preparatlarini olish uchun talabnoma,213 Заявка на компоненты и препараты крови,213 Request for blood components/products,,Журнал
emdoc-0010-0278,214,Qon preparatlarini ekspeditsiyaga topshirishni qayd etish,Передача препаратов крови экспедиции,Transfer of blood products to dispatch,,,,214 Qon preparatlarini ekspeditsiyaga topshirishni qayd etish,214 Передача препаратов крови экспедиции,214 Transfer of blood products to dispatch,,Журнал
emdoc-0010-0279,215,Qon preparatlari bo‘limiga kirim qilingan plazmalarni qayd etish,Учёт поступившей плазмы в отдел,Register of plasma received by department,,,,215 Qon preparatlari bo‘limiga kirim qilingan plazmalarni qayd etish,215 Учёт поступившей плазмы в отдел,215 Register of plasma received by department,,Журнал
emdoc-0010-0280,216,OIVga seropozitiv donorlarni qayd etish jurnali,Журнал учёта ВИЧ-серопозитивных доноров,Register of HIV-seropositive donors,,,,216 OIVga seropozitiv donorlarni qayd etish jurnali,216 Журнал учёта ВИЧ-серопозитивных доноров,216 Register of HIV-seropositive donors,,Журнал
emdoc-0010-0281,217,Beg‘araz qon guruhi va rezus-faktori tahlillarini ro‘yxatga olish,Регистрация анализов группы крови и Rh доноров,Register of donor blood group/Rh tests,,,,217 Beg‘araz qon guruhi va rezus-faktori tahlillarini ro‘yxatga olish,217 Регистрация анализов группы крови и Rh доноров,217 Register of donor blood group/Rh tests,,Журнал
emdoc-0010-0282,218,"Zaxm, HSV, HBsAg va OIVga tekshiruvlarni qayd etish jurnali","Журнал анализов на сифилис, HBsAg и ВИЧ","Register of tests for syphilis, HBsAg and HIV",,,,"218 Zaxm, HSV, HBsAg va OIVga tekshiruvlarni qayd etish jurnali","218 Журнал анализов на сифилис, HBsAg и ВИЧ","218 Register of tests for syphilis, HBsAg and HIV",,Журнал
emdoc-0010-0283,219,Donorlarni klinik va bioximik tahlillarini qayd etish,Учёт клинико-биохимических анализов доноров,Register of donor clinical/biochemical tests,,,,219 Donorlarni klinik va bioximik tahlillarini qayd etish,219 Учёт клинико-биохимических анализов доноров,219 Register of donor clinical/biochemical tests,,Журнал
emdoc-0010-0284,220,Donorlar qon guruhi va rezus-faktori tahlillarini ro‘yxatga olish,Повторная регистрация группы крови и Rh доноров,Register of donor blood group/Rh (repeat),,,,220 Donorlar qon guruhi va rezus-faktori tahlillarini ro‘yxatga olish,220 Повторная регистрация группы крови и Rh доноров,220 Register of donor blood group/Rh (repeat),,Журнал
emdoc-0010-0285,221,DPM jurnali usti KONSUL,Консультационный журнал ЛПУ,Facility consultation journal,,,,221 DPM jurnali usti KONSUL,221 Консультационный журнал ЛПУ,221 Facility consultation journal,,Журнал
emdoc-0010-0286,222,"Rezusga qarshi tayyorlangan (reagent, reaktiv) standart zardob tayyorlash uchun qabul qilingan hom-ashyoni ro‘yxatga olish","Регистрация сырья, принятого для приготовления стандартной анти-резус сыворотки (реагента, реактива)",Registration of raw materials accepted for preparation of standard anti-Rh serum (reagent),,,,"222 Rezusga qarshi tayyorlangan (reagent, reaktiv) standart zardob tayyorlash uchun qabul qilingan hom-ashyoni ro‘yxatga olish","222 Регистрация сырья, принятого для приготовления стандартной анти-резус сыворотки (реагента, реактива)",222 Registration of raw materials accepted for preparation of standard anti-Rh serum (reagent),,Журнал
emdoc-0010-0287,223,Patologo-anatomik tekshirish uchun yorilgan murdalarni qayd etish,"Регистрация трупов, вскрытых для патолого-анатомического исследования",Register of bodies autopsied for pathological examination,,,,223 Patologo-anatomik tekshirish uchun yorilgan murdalarni qayd etish,"223 Регистрация трупов, вскрытых для патолого-анатомического исследования",223 Register of bodies autopsied for pathological examination,,Журнал
emdoc-0010-0288,224,Patologo-anatomik tadqiqot bayoni №,Протокол патолого-анатомического исследования №,Pathological examination report №,,,,224 Patologo-anatomik tadqiqot bayoni №,224 Протокол патолого-анатомического исследования №,224 Pathological examination report №,,Бланк
emdoc-0010-0289,225,Patologo-gistologik tadqiqot uchun yo‘llanma,Направление на патолого-гистологическое исследование,Referral for histopathological examination,,,,225 Patologo-gistologik tadqiqot uchun yo‘llanma,225 Направление на патолого-гистологическое исследование,225 Referral for histopathological examination,,Бланк
emdoc-0010-0290,226,Seksion material patologo-gistologik tekshiruvlarni qayd etish,Регистрация патолого-гистологических исследований секционного материала,Register of histopathological examinations of autopsy material,,,,226 Seksion material patologo-gistologik tekshiruvlarni qayd etish,226 Регистрация патолого-гистологических исследований секционного материала,226 Register of histopathological examinations of autopsy material,,Журнал
emdoc-0010-0291,227,Biopsiya va operatsiya materiallari yuzasidan tekshiruvlarni qayd etish,Регистрация исследований биопсийного и операционного материала,Register of examinations of biopsy and surgical material,,,,227 Biopsiya va operatsiya materiallari yuzasidan tekshiruvlarni qayd etish,227 Регистрация исследований биопсийного и операционного материала,227 Register of examinations of biopsy and surgical material,,Журнал
emdoc-0010-0292,228,Murdalarni qabul qilish va olib ketilishini qayd etish,Регистрация приёма и выдачи (выноса) трупов,Register of acceptance and release (removal) of bodies,,,,228 Murdalarni qabul qilish va olib ketilishini qayd etish,228 Регистрация приёма и выдачи (выноса) трупов,228 Register of acceptance and release (removal) of bodies,,Журнал
emdoc-0010-0293,229,Sud-tibbiy tekshiruv dalolatnomasi,Акт судебно-медицинского исследования,Act of forensic medical examination,,,,229 Sud-tibbiy tekshiruv dalolatnomasi,229 Акт судебно-медицинского исследования,229 Act of forensic medical examination,,Бланк
emdoc-0010-0294,230,Ekspert xulosasi №,Заключение эксперта №,Expert opinion №,,,,230 Ekspert xulosasi №,230 Заключение эксперта №,230 Expert opinion №,,Бланк
emdoc-0010-0295,231,Sud-tibbiy laboratoriya va mutaxassis maslahatiga yo‘llanma,Направление в судебно-медицинскую лабораторию и на консультацию специалиста,Referral to forensic laboratory and specialist consultation,,,,231 Sud-tibbiy laboratoriya va mutaxassis maslahatiga yo‘llanma,231 Направление в судебно-медицинскую лабораторию и на консультацию специалиста,231 Referral to forensic laboratory and specialist consultation,,Бланк
emdoc-0010-0296,232,Sud-gistologik tekshiruvga yo‘llanma,Направление на судебно-гистологическое исследование,Referral for forensic histological examination,,,,232 Sud-gistologik tekshiruvga yo‘llanma,232 Направление на судебно-гистологическое исследование,232 Referral for forensic histological examination,,Бланк
emdoc-0010-0297,233,Tanatologiya bo‘limida murdalarni ro‘yxatga olish,Регистрация трупов в танатологическом отделении,Register of bodies in the thanatology unit,,,,233 Tanatologiya bo‘limida murdalarni ro‘yxatga olish,233 Регистрация трупов в танатологическом отделении,233 Register of bodies in the thanatology unit,,Бланк
emdoc-0010-0298,234,Sud-tibbiy ambulatoriyada shaxslarni ro‘yxatga olish,Регистрация лиц в судебно-медицинской амбулатории,Register of persons in forensic outpatient unit,,,,234 Sud-tibbiy ambulatoriyada shaxslarni ro‘yxatga olish,234 Регистрация лиц в судебно-медицинской амбулатории,234 Register of persons in forensic outpatient unit,,Журнал
emdoc-0010-0299,235,"Qayta, komission, kompleks va murakkab ekspertizalarni ro‘yxatga olish","Регистрация повторных, комиссионных, комплексных и сложных экспертиз","Register of repeat, commission, comprehensive and complex expert examinations",,,,"235 Qayta, komission, kompleks va murakkab ekspertizalarni ro‘yxatga olish","235 Регистрация повторных, комиссионных, комплексных и сложных экспертиз","235 Register of repeat, commission, comprehensive and complex expert examinations",,Журнал
emdoc-0010-0300,236,Sud biologik bo‘limda ashyoviy dalillarni va ularga tegishli hujjatlarni ro‘yxatga olish,Регистрация вещественных доказательств и сопроводительных документов в судебно-биологическом отделе,Register of physical evidence and related documents in the forensic biology unit,,,,236 Sud biologik bo‘limda ashyoviy dalillarni va ularga tegishli hujjatlarni ro‘yxatga olish,236 Регистрация вещественных доказательств и сопроводительных документов в судебно-биологическом отделе,236 Register of physical evidence and related documents in the forensic biology unit,,Журнал
emdoc-0010-0301,237,"Sud biologik bo‘limda murda qoni, surtma va tiqimlar tekshiruvini ro‘yxatga olish","Регистрация исследований трупной крови, мазков и тампонов в судебно-биологическом отделе","Register of examinations of cadaver blood, smears and swabs in the forensic biology unit",,,,"237 Sud biologik bo‘limda murda qoni, surtma va tiqimlar tekshiruvini ro‘yxatga olish","237 Регистрация исследований трупной крови, мазков и тампонов в судебно-биологическом отделе","237 Register of examinations of cadaver blood, smears and swabs in the forensic biology unit",,Журнал
emdoc-0010-0302,238,Sud gistologik bo‘limda material va hujjatlarni ro‘yxatga olish,Регистрация материалов и документов в судебно-гистологическом отделе,Register of materials and documents in forensic histology unit,,,,238 Sud gistologik bo‘limda material va hujjatlarni ro‘yxatga olish,238 Регистрация материалов и документов в судебно-гистологическом отделе,238 Register of materials and documents in forensic histology unit,,Журнал
emdoc-0010-0303,239,Mikromordorlar olingan qonni qayd etish,"Регистрация крови, взятой для микрометодов",Register of blood taken for micromethods,,,,239 Mikromordorlar olingan qonni qayd etish,"239 Регистрация крови, взятой для микрометодов",239 Register of blood taken for micromethods,,Журнал
emdoc-0010-0304,240,"Kiyim, ashyoviy dalillar, qimmatbaho buyumlar va hujjatlarni ro‘yxatga olish","Регистрация одежды, вещественных доказательств, ценностей и документов","Register of clothing, physical evidence, valuables and documents",,,,"240 Kiyim, ashyoviy dalillar, qimmatbaho buyumlar va hujjatlarni ro‘yxatga olish","240 Регистрация одежды, вещественных доказательств, ценностей и документов","240 Register of clothing, physical evidence, valuables and documents",,Журнал
emdoc-0010-0305,241,Sud–kimyo bo‘limida ashyoviy dalillar va ularga tegishli hujjatlarni ro‘yxatga olish,Регистрация вещественных доказательств и сопроводительных документов в судебно-химическом отделе,Register of physical evidence and related documents in the forensic chemistry unit,,,,241 Sud–kimyo bo‘limida ashyoviy dalillar va ularga tegishli hujjatlarni ro‘yxatga olish,241 Регистрация вещественных доказательств и сопроводительных документов в судебно-химическом отделе,241 Register of physical evidence and related documents in the forensic chemistry unit,,Журнал
emdoc-0010-0306,242,Sud–kimyo bo‘limida tirik shaxslardan narkologik tekshiruvlarni ro‘yxatga olish,Регистрация наркологических обследований живых лиц в судебно-химическом отделе,Register of narcological examinations of living persons in the forensic chemistry unit,,,,242 Sud–kimyo bo‘limida tirik shaxslardan narkologik tekshiruvlarni ro‘yxatga olish,242 Регистрация наркологических обследований живых лиц в судебно-химическом отделе,242 Register of narcological examinations of living persons in the forensic chemistry unit,,Журнал
emdoc-0010-0307,243,Fuqarolar murojaatlarini qayd etish,Регистрация обращений граждан,Register of citizens’ applications,,,,243 Fuqarolar murojaatlarini qayd etish,243 Регистрация обращений граждан,243 Register of citizens’ applications,,Журнал
emdoc-0010-0308,244,Ma’lumotlarni yig‘ish,Сбор информации,Data collection,,,,244 Ma’lumotlarni yig‘ish,244 Сбор информации,244 Data collection,,Журнал
emdoc-0010-0309,245,Tibbiy kriminalistika bo‘limida ashyoviy dalillar va ularga tegishli hujjatlarni ro‘yxatga olish,Регистрация вещественных доказательств и сопроводительных документов в отделе медицинской криминалистики,Register of physical evidence and related documents in the medical criminology unit,,,,245 Tibbiy kriminalistika bo‘limida ashyoviy dalillar va ularga tegishli hujjatlarni ro‘yxatga olish,245 Регистрация вещественных доказательств и сопроводительных документов в отделе медицинской криминалистики,245 Register of physical evidence and related documents in the medical criminology unit,,Журнал
emdoc-0010-0310,045-1,Veterinariya bo‘limi ma’lumotlarini ro‘yxatga olish daftari,Журнал регистрации сведений ветеринарного отдела,Register of veterinary department records,,,,045-1 Veterinariya bo‘limi ma’lumotlarini ro‘yxatga olish daftari,045-1 Журнал регистрации сведений ветеринарного отдела,045-1 Register of veterinary department records,,Журнал
emdoc-0010-0311,045-2,Boshqa hududlardagi hayvonlardan jarohat olganlarni ro‘yxatga olish jurnali,"Журнал учета лиц, пострадавших от животных из других районов и областей",Register of persons injured by animals from other regions,,,,045-2 Boshqa hududlardagi hayvonlardan jarohat olganlarni ro‘yxatga olish jurnali,"045-2 Журнал учета лиц, пострадавших от животных из других районов и областей",045-2 Register of persons injured by animals from other regions,,Журнал
emdoc-0010-0312,045-3,Noma’lum hayvonlardan jarohat olganlar bo‘yicha dispanserizatsiya va antirabik nazorat jurnali,Журнал диспансеризации и антирабического наблюдения пострадавших от неизвестных животных,Register of follow-up and antirabies supervision for injuries by unknown animals,,,,045-3 Noma’lum hayvonlardan jarohat olganlar bo‘yicha dispanserizatsiya va antirabik nazorat jurnali,045-3 Журнал диспансеризации и антирабического наблюдения пострадавших от неизвестных животных,045-3 Register of follow-up and antirabies supervision for injuries by unknown animals,,Журнал
emdoc-0010-0313,045-4,Xo‘jalik hisobidagi profilaktik dezinfeksiya bo‘limiga xabar berish jurnali,Журнал уведомлений в отдел профилактической дезинфекции на хозрасчете,Notification register to the preventive disinfection unit,,,,045-4 Xo‘jalik hisobidagi profilaktik dezinfeksiya bo‘limiga xabar berish jurnali,045-4 Журнал уведомлений в отдел профилактической дезинфекции на хозрасчете,045-4 Notification register to the preventive disinfection unit,,Журнал
emdoc-0010-0314,045-5,Nobud bo‘lgan hayvonlar murda materialini laborator tekshirish bo‘yicha epizootik daftar,Эпизоотический журнал лабораторного исследования трупного материала павших животных,Epizootic register of laboratory examination of carcass material,,,,045-5 Nobud bo‘lgan hayvonlar murda materialini laborator tekshirish bo‘yicha epizootik daftar,045-5 Эпизоотический журнал лабораторного исследования трупного материала павших животных,045-5 Epizootic register of laboratory examination of carcass material,,Журнал
emdoc-0010-0315,045-6,Guruhli hayvonlardan jarohat olganlarni qayd etish daftari,Журнал учета пострадавших от группового нападения животных,Register of persons injured in group animal attacks,,,,045-6 Guruhli hayvonlardan jarohat olganlarni qayd etish daftari,045-6 Журнал учета пострадавших от группового нападения животных,045-6 Register of persons injured in group animal attacks,,Журнал
emdoc-0010-0316,060,Yuqumli kasalliklarni qayd etish jurnali,Журнал регистрации инфекционных заболеваний,Register of infectious diseases,,,,060 Yuqumli kasalliklarni qayd etish jurnali,060 Журнал регистрации инфекционных заболеваний,060 Register of infectious diseases,,Журнал
emdoc-0010-0317,246,Davlat sanitariya nazoratiga olingan obyektlarni ro‘yxatga olish jurnali,"Журнал регистрации объектов, взятых на государственный санитарный контроль",Register of facilities under state sanitary supervision,,,,246 Davlat sanitariya nazoratiga olingan obyektlarni ro‘yxatga olish jurnali,"246 Журнал регистрации объектов, взятых на государственный санитарный контроль",246 Register of facilities under state sanitary supervision,,Журнал
emdoc-0010-0318,247,Qurilish uchun ajratilgan yer maydoni bo‘yicha xulosa,"Заключение по земельному участку, выделенному под строительство",Conclusion on land plot allocated for construction,,,,247 Qurilish uchun ajratilgan yer maydoni bo‘yicha xulosa,"247 Заключение по земельному участку, выделенному под строительство",247 Conclusion on land plot allocated for construction,,Журнал
emdoc-0010-0319,248,Qurilish uchun ajratilgan yer maydonlariga berilgan xulosalarni ro‘yxatga olish jurnali,Журнал регистрации заключений по земельным участкам под строительство,Register of conclusions on land plots for construction,,,,248 Qurilish uchun ajratilgan yer maydonlariga berilgan xulosalarni ro‘yxatga olish jurnali,248 Журнал регистрации заключений по земельным участкам под строительство,248 Register of conclusions on land plots for construction,,Журнал
emdoc-0010-0320,249,Loyiha bo‘yicha xulosa,Заключение по проекту,Project conclusion,,,,249 Loyiha bo‘yicha xulosa,249 Заключение по проекту,249 Project conclusion,,Бланк
emdoc-0010-0321,250,Loyiha bo‘yicha berilgan xulosalarni ro‘yxatga olish jurnali,Журнал регистрации выданных проектных заключений,Register of issued project conclusions,,,,250 Loyiha bo‘yicha berilgan xulosalarni ro‘yxatga olish jurnali,250 Журнал регистрации выданных проектных заключений,250 Register of issued project conclusions,,Журнал
emdoc-0010-0322,251,Qurilayotgan (ta’mirlanayotgan) obyekt bo‘yicha ogohlantiruvchi sanitariya nazorati kartasi,Карта предупредительного санитарного надзора по строящемуся (ремонтируемому) объекту,Preventive sanitary supervision card for construction/renovation site,,,,251 Qurilayotgan (ta’mirlanayotgan) obyekt bo‘yicha ogohlantiruvchi sanitariya nazorati kartasi,251 Карта предупредительного санитарного надзора по строящемуся (ремонтируемому) объекту,251 Preventive sanitary supervision card for construction/renovation site,,Бланк
emdoc-0010-0323,252,Joriy sanitariya nazoratiga olingan obyektning kartasi,"Карта объекта, взятого на текущий санитарный контроль",Card of facility under current sanitary supervision,,,,252 Joriy sanitariya nazoratiga olingan obyektning kartasi,"252 Карта объекта, взятого на текущий санитарный контроль",252 Card of facility under current sanitary supervision,,Бланк
emdoc-0010-0324,253,Bolalarni dam olish va sog‘lomlashtirish joylariga olib chiqish uchun beriladigan sanitariya ruxsatnoma,Санитарное разрешение на вывоз детей в места отдыха и оздоровления,Sanitary permit for sending children to recreation and health facilities,,,,253 Bolalarni dam olish va sog‘lomlashtirish joylariga olib chiqish uchun beriladigan sanitariya ruxsatnoma,253 Санитарное разрешение на вывоз детей в места отдыха и оздоровления,253 Sanitary permit for sending children to recreation and health facilities,,Бланк
emdoc-0010-0325,254,Suv namunasini olish dalolatnomasi (akt),Акт отбора пробы воды,Act of water sampling,,,,254 Suv namunasini olish dalolatnomasi (akt),254 Акт отбора пробы воды,254 Act of water sampling,,Бланк
emdoc-0010-0326,255,Oziq-ovqat mahsulotlaridan namuna olish dalolatnomasi,Акт отбора проб пищевых продуктов,Act of food sampling,,,,255 Oziq-ovqat mahsulotlaridan namuna olish dalolatnomasi,255 Акт отбора проб пищевых продуктов,255 Act of food sampling,,Бланк
emdoc-0010-0327,256,Qishloq xo‘jaligi va oziq-ovqat mahsulotlarida pestitsidlar qoldig‘ini aniqlash dalolatnomasi,Акт определения остаточных пестицидов в сельхоз- и пищевой продукции,Act on determination of pesticide residues in agri-food samples,,,,256 Qishloq xo‘jaligi va oziq-ovqat mahsulotlarida pestitsidlar qoldig‘ini aniqlash dalolatnomasi,256 Акт определения остаточных пестицидов в сельхоз- и пищевой продукции,256 Act on determination of pesticide residues in agri-food samples,,Бланк
emdoc-0010-0328,257,Tashqi muhit anjomlaridan surtma olish dalolatnomasi,Акт взятия смывов с предметов внешней среды,Act of environmental swab sampling,,,,257 Tashqi muhit anjomlaridan surtma olish dalolatnomasi,257 Акт взятия смывов с предметов внешней среды,257 Act of environmental swab sampling,,Бланк
emdoc-0010-0329,258,Yuqumli kasallik bilan og‘rigan bemorni ko‘chirish (evakuatsiya) varaqasi,Лист эвакуации больного с инфекционным заболеванием,Evacuation sheet for infectious patient,,,,258 Yuqumli kasallik bilan og‘rigan bemorni ko‘chirish (evakuatsiya) varaqasi,258 Лист эвакуации больного с инфекционным заболеванием,258 Evacuation sheet for infectious patient,,Бланк
