Code,CVX CODE,МНН,SNOMED,RELATIONSHIP,SNOMED Descriptions,UZ,RU,EN,,,,
immun-202,  198,J07CA09,871886002,equivalent,Vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and Hepatitis B virus antigens (medicinal product),"difteriya, ko'k yo'tal, qoqshol, gepatit B, gemofil influenzae turi b, (besh valentli)","дифтерия, коклюш, столбняк, гепатит В, гемофильный грипп типа b, (пентавалент)","Diphtheria, pertussis, tetanus, hepatitis B, Haemophilus Influenza Type b, (Pentavalent)",,,,
immun-203,  203,"J07AH08
",871873006,equivalent,"Vaccine product containing only Neisseria meningitidis serogroup A, C, W135 and Y antigens (medicinal product)","Meningokokk polisakkaridlari (A, C, Y, W-135 guruhlari) tetanoz konjugati vaktsinasi 0,5 ml dozada, konservantsiz","полисахарид менингококка (группы A, C, Y, W-135) конъюгированная вакцина против столбняка 0,5 мл доза, без консерванта","meningococcal polysaccharide (groups A, C, Y, W-135) tetanus toxoid conjugate vaccine .5mL dose, preservative free",,,,
immun-204,  205,J07BB02,1181000221105,source-is-narrower-than-target,Vaccine product containing only influenza virus antigen (medicinal product),"Gripp, adjuvantlangan, inaktivatsiyalangan, tetravalent, in'ektsion, konservantsiz","Гриппозная, адъювантная, инактивированная, четырехвалентная, инъекционная, без консервантов","influenza, seasonal vaccine, quadrivalent, adjuvanted, .5mL dose, preservative free",,,,
immun-205,  206,J07BX01,1293025000,equivalent,Vaccine product containing only modified Vaccinia virus Ankara antigen (medicinal product),"Maymunchechakka qarshi emlash, jonli zaiflashtirilgan, konservantlarsiz, teri ostiga yoki teri ichiga yuborish.","Вакцина против оспы обезьян, живая аттенуированная, без консервантов, подкожная или внутрикожная инъекция","smallpox monkeypox vaccine, live attenuated, preservative free (National Stockpile)",,,,
immun-206,  207,J07BX03,1119349007,equivalent,Vaccine product containing only severe acute respiratory syndrome coronavirus 2 messenger ribonucleic acid (medicinal product),"SARS-COV-2 (COVID-19) vaktsinasi, mRNK, boshoq oqsili, LNP, konservantlarsiz, 100 mkg/0,5 ml yoki 50 mkg/0,25 ml doza","Вакцина SARS-COV-2 (COVID-19), мРНК, спайк-протеин, LNP, без консервантов, доза 100 мкг/0,5 мл или 50 мкг/0,25 мл","SARS-COV-2 (COVID-19) vaccine, mRNA, spike protein, LNP, preservative free, 100 mcg/0.5mL dose",,,,
immun-207,  208,J07BX03,1119349007,equivalent,Vaccine product containing only severe acute respiratory syndrome coronavirus 2 messenger ribonucleic acid (medicinal product),"SARS-COV-2 (COVID-19) vaktsinasi, mRNK, boshoq oqsili, LNP, konservantlarsiz, 30 mkg/0,3 ml doza","Вакцина SARS-COV-2 (COVID-19), мРНК, шиповидный белок, LNP, без консервантов, доза 30 мкг/0,3 мл","SARS-COV-2 (COVID-19) vaccine, mRNA, spike protein, LNP, preservative free, 30 mcg/0.3mL dose",,,,
immun-208,  213,J07BX03,1119305005,source-is-narrower-than-target,Vaccine product containing only severe acute respiratory syndrome coronavirus 2 antigen (medicinal product),"SARS-COV-2 (COVID-19) vaksinasi, RUKSAT BERILMAGAN","Вакцина SARS-COV-2 (COVID-19), НЕРАЗРЕШЕННАЯ","SARS-COV-2 (COVID-19) vaccine, UNSPECIFIED",,,,
immun-209,  210,J07BX03,1119305005,equivalent,Vaccine product containing only severe acute respiratory syndrome coronavirus 2 antigen (medicinal product),"SARS-COV-2 (COVID-19) vaktsinasi, takrorlanmaydigan vektor, rekombinant boshoqli oqsil-ChAdOx1, konservantsiz, 0,5 ml","Вакцина SARS-COV-2 (COVID-19), вектор нереплицирующийся, рекомбинантный спайковый белок-ChAdOx1, без консервантов, 0,5 мл","SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL",,,,
immun-210,  212,J07BX03,1119305005,source-is-narrower-than-target,Vaccine product containing only severe acute respiratory syndrome coronavirus 2 antigen (medicinal product),"SARS-COV-2 (COVID-19) vaktsinasi, takrorlanmaydigan vektor, rekombinant boshoq oqsili-Ad26, konservantsiz, 0,5 ml","Вакцина SARS-COV-2 (COVID-19), вектор нереплицирующийся, рекомбинантный спайковый белок-Ad26, без консервантов, 0,5 мл","SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL",,,,
immun-211,  204,J07BX02,45891000087103,equivalent,Vaccine product containing only live attenuated Zaire ebolavirus antigen (medicinal product),"Ebola vaktsinasi Zaire, jonli, rekombinant, 1 ml doza","Вакцина Эбола Заир, живая, рекомбинантная, доза 1 мл","Ebola Zaire vaccine, live, recombinant, 1mL dose",,,,
immun-212,  214,J07BX02,871721000,equivalent,Vaccine product containing only Ebolavirus antigen (medicinal product),"Ebola, aniqlanmagan","Эбола, неуточненная","Ebola, unspecified",,,,
immun-213,  211,,1162643001,equivalent,SARS-CoV-2 recombinant spike protein antigen vaccine,"SARS-CoV-2 (COVID-19) ga qarshi vaksina, subbirlikli, rekombinant spike-oqsil nanozarrachali + Matrix-M1 ad’yuvantli, konservantsiz, har doza 0,5 ml","Вакцина против SARS-CoV-2 (COVID-19), субъединичная, рекомбинантный наночастичный спайк-белок с адъювантом Matrix-M1, без консервантов, 0,5 мл на дозу","SARS-COV-2 (COVID-19) vaccine, Subunit, recombinant spike protein-nanoparticle+Matrix-M1 Adjuvant, preservative free, 0.5mL per dose",,,,
immun-214,  AGRPAL,J07BB02,1181000221105,source-is-narrower-than-target,Influenza virus antigen only vaccine product,Agrippal,Агриппал,Agrippal,,,,
immun-215,  AVAXM,J07BC02,871751006,source-is-narrower-than-target,Hepatitis A virus antigen only vaccine product,Avaxim,Аваксим,Avaxim,,,,
immun-216,  BCG,J07AN01,  1861000221106,equivalent,Vaccine product containing only live attenuated Mycobacterium bovis antigen (medicinal product),,,BCG,,,,
immun-217,  CDT,J07AM51,277353005,equivalent,Connected discourse tracking (procedure),Bog‘langan nutqni baholash / kuzatish (protsedura),Оценка/отслеживание связной речи (процедура),CDT,,,,
immun-218,  CMX,J07CA09,871806004,source-is-narrower-than-target,Haemophilus influenzae type b conjugate and Hepatitis B vaccine,Comvax,Комвакс,COMVAX,,,,
immun-219,  DTP,J07AJ01,871875004,equivalent,"Diphtheria, Tetanus, Pertussis vaccine","Uch komponentli vaksina (difteriya, qoqshol, ko‘kyo‘talga qarshi)","Тройная вакцина (дифтерия, столбняк, коклюш)",Triple Antigen,,,,
immun-220,  DTPA,J07AJ52,871876003,equivalent,Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens only vaccine product,"Difteriya, qoqshol va atsellyulyar ko‘kyo‘talga qarshi vaksin","Вакцина против дифтерии, столбняка и ацеллюлярного коклюша",DTPa,,,,
immun-221,  ENGP,J07BC01,871925000,source-is-narrower-than-target, Vaccine product containing only Hepatitis B virus surface protein antigen (medicinal product),Gepatit B ga qarshi vaksina,Вакцина против гепатита B,Engerix B,,,,
immun-222,  FLRIX,J07BB02,1181000221105,source-is-narrower-than-target,Vaccine product containing only influenza virus antigen (medicinal product),Inaktivatsiyalangan grippga qarshi vaksina,Инактивированная вакцина против гриппа,Fluarix,,,,
immun-223,  FLUVAX,J07BB02,1181000221105,source-is-narrower-than-target,"Influenza virus vaccine, inactivated",Fluvax,Флювакс,Fluvax,,,,
immun-224,  FLVRN,J07BB02,1181000221105,source-is-narrower-than-target,Vaccine product containing only influenza virus antigen (medicinal product),Fluvirin,Флювирин,Fluvirin,,,,
immun-225,  FVXJNR,J07BB02,1181000221105,source-is-narrower-than-target,Vaccine product containing only influenza virus antigen (medicinal product),Fluvax vaksinasining bolalar uchun shakli,Детская форма вакцины Fluvax,Fluvax Junior,,,,
immun-226,  GNDIP,J07AF01,871729003,equivalent,Corynebacterium diphtheriae antigen only vaccine product,Difteriyaga qarshi vaksina,Вакцина против дифтерии,Diphtheria,,,,
immun-227,  GNFLU,J07BB,1181000221105,equivalent,Influenza virus antigen only vaccine product,Grippga qarshi vaksina,Вакцина против гриппа,Influenza,,,,
immun-228,  GNHEP,J07BC01,871822003,equivalent,Hepatitis B virus antigen only vaccine product,Gepatit B ga qarshi vaksina,Вакцина против гепатита B,Hepatitis B,,,,
immun-229,  GNHIB,J07AG01,2041000221105,equivalent,Vaccine product containing only Haemophilus influenzae type b capsular polysaccharide antigen conjugated (medicinal product),Haemophilus influenzae b turi ga qarshi vaksina,Вакцина против Haemophilus influenzae типа b,HIB,,,,
immun-230,  GNHPA,J07BC02,871751006,equivalent,Hepatitis A virus antigen only vaccine product,Gepatit A ga qarshi vaksina,Вакцина против гепатита A,Hepatitis A,,,,
immun-231,  GNJEN,J07BA02,871724008,equivalent,Japanese encephalitis virus antigen only vaccine product,Yapon ensefalitiga qarshi vaksina,Вакцина против японского энцефалита,Japanese Encephalitis,,,,
immun-232,  GNMEA,J07BD01,871765008,equivalent,Measles morbillivirus antigen only vaccine product,Qizamiqqa qarshi vaksina,Вакцина против кори,Measles,,,,
immun-233,  GNMEN,J07AH07,871866001,equivalent,Neisseria meningitidis serogroup C antigen only vaccine product,Meningokokk C seroguruhiga qarshi vaksina,Вакцина против менингококка серогруппы C,Meningococcal C,,,,
immun-234,  GNMUM,J07BE01,871737006,equivalent,Mumps orthorubulavirus antigen only vaccine product,Epidemik parotitga qarshi vaksina,Вакцина против эпидемического паротита,Mumps,,,,
immun-235,  GNPNE,J07AL,  981000221107,equivalent,Streptococcus pneumoniae antigen only vaccine product,Pnevmokokkga qarshi vaksina,Пневмококковая вакцина,Pneumococcal,,,,
immun-236,  GNPOL,J07BF,871739009,equivalent,Human poliovirus antigen only vaccine product,Poliomiyelit,Полиомиелит,Polio,,,,
immun-237,  GNROX,J07BH,871761004,equivalent,Rotavirus antigen only vaccine product,Rotavirus,Ротавирус,Rotavirus,,,,
immun-238,  GNRUB,J07BJ01,871732000,equivalent,Rubella virus antigen only vaccine product,Qizilcha,Краснуха,Rubella,,,,
immun-239,  GNTET,J07AM01,871742003,equivalent,Clostridium tetani antigen only vaccine product,Qoqshol,Столбняк,Tetanus,,,,
immun-240,  GNVAR,J07BK01,871919004,equivalent,Human alphaherpesvirus 3 antigen only vaccine product,Suvchechak,Ветряная оспа,Varicella,,,,
immun-241,  HATWNJ,J07BC20,871803007,source-is-narrower-than-target,Vaccine product containing only Hepatitis A and Hepatitis B virus antigens (medicinal product),Twinrix Junior,Твинрикс Юниор,Twinrix Junior,,,,
immun-242,  HAVAQ,J07BC02,871751006,source-is-narrower-than-target,Vaccine product containing only Hepatitis A virus antigen (medicinal product),Vakta Ped/Adol,Вакта Пед/Адол,Vaqta Paed/Adol,,,,
immun-243,  HAVJ,J07BC02,871751006,source-is-narrower-than-target,Vaccine product containing only Hepatitis A virus antigen (medicinal product),Havrix Junior,Хаврикс Юниор,Havrix Junior,,,,
immun-244,  HBOC,J07AG01,2041000221105,source-is-narrower-than-target,Vaccine product containing only Haemophilus influenzae type b capsular polysaccharide antigen conjugated (medicinal product),HibTITER,ХибТИТЕР,HibTITER,,,,
immun-245,  HBV,J07BC01,871822003,equivalent,Hepatitis B virus antigen only vaccine product,HBV,HBV,HBV,,,,
immun-246,  HBVP,J07BC01,871822003,source-is-narrower-than-target,Vaccine product containing only Hepatitis B virus antigen (medicinal product),HBVAX II,HBVAX II,HBVAX II,,,,
immun-247,  HBX,J07AG01,2041000221105,source-is-narrower-than-target,Vaccine product containing only Haemophilus influenzae type b capsular polysaccharide antigen conjugated (medicinal product),Hiberix,Хиберикс,Hiberix,,,,
immun-248,  IFHX,J07CA09,871895005,source-is-narrower-than-target,Vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and Hepatitis B virus and Human poliovirus antigens (medicinal product),"Infanrix Hexa (olti komponentli vaktsina: difteriya, ko'kyo'tal, tetanoz, poliomielit, Hib, gepatit B)","Инфанрикс Гекса (шестикомпонентная вакцина: дифтерия, коклюш, столбняк, полиомиелит, Hib, гепатит B)",Infanrix Hexa,,,,
immun-249,  IFIP,J07CA02,1381704004,source-is-narrower-than-target,Vaccine product containing only acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus antigens (medicinal product),"Infanrix IPV (beshlik vaktsina: difteriya, ko'kyo'tal, qoqshol, poliomielit, Hib)","Инфанрикс IPV (пятикомпонентная вакцина: дифтерия, коклюш, столбняк, полиомиелит, Hib)",Infanrix-IPV,,,,
immun-250,  IFPA,J07CA06,871888001,source-is-narrower-than-target,Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and inactivated whole Human poliovirus antigens only vaccine product,"Infanrix Penta (beshlik: difteriya, ko'kyo'tal, qoqshol, poliomielit, Hib)","Инфанрикс Пента (пятикомпонентная: дифтерия, коклюш, столбняк, полиомиелит, Hib)",Infanrix Penta,,,,
immun-251,  IFX,J07AJ52,871876003,source-is-narrower-than-target,Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens only vaccine product,"Infanrix (odatda uch komponentli vaktsina: difteriya, ko'kyo'tal, qoqshol)","Инфанрикс (обычно это трёхкомпонентная вакцина: дифтерия, коклюш, столбняк)",Infanrix,,,,
immun-252,  IFXB,J07CA05,1156879008,equivalent,Vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Hepatitis B virus antigens (medicinal product),"Infanrix hepB (to'rtta: difteriya, ko'kyo'tal, qoqshol, gepatit B)","Инфанрикс гепВ (четырёхкомпонентная: дифтерия, коклюш, столбняк, гепатит B)",InfanrixHepB,,,,
immun-253,  INFLUV,J07BB02,1181000221105,source-is-narrower-than-target,Vaccine product containing only influenza virus antigen (medicinal product),Influvac (inaktivlangan grippga qarshi emlash),"Инфлювак (вакцина против гриппа, инактивированная)",Influvac,,,,
immun-254,10,J07BF03,1366377002,equivalent,"poliovirus vaccine, inactivated","IPOL (poliomielitga qarshi emlash, poliomielitga qarshi vaktsinalar)","ИПОЛ (полииовакцина, вакцина против полиомиелита)",IPOL,,,,
immun-255,  JEVAX,J07BA02,871724008,source-is-narrower-than-target,Vaccine product containing only Japanese encephalitis virus antigen (medicinal product),JE-VAX (Yapon ensefalitiga qarshi emlash),ДЖЕ‑ВАКС (вакцина против японского энцефалита),JE-VAX,,,,
immun-256,  MENJUG,J07AH07,871866001,source-is-narrower-than-target,Vaccine product containing only Neisseria meningitidis serogroup C antigen (medicinal product),Menjugat (meningokokk C guruhidan himoya qiluvchi meningokokk konjugatli vaktsina),"Меньюгейт (менингококковая конъюгированная вакцина, защищающая от менингококка группы C)",Menjugate,,,,
immun-257,  MENTEC,J07AH07,871866001,source-is-narrower-than-target,Vaccine product containing only Neisseria meningitidis serogroup C antigen (medicinal product),"Meningitec (A, C, W135, Y seroguruhlaridan himoya qiluvchi meningokokk konjugatli vaktsina)","Менингитек (менингококковая конъюгированная вакцина, защищающая от серогрупп A, C, W135, Y)",Meningitec,,,,
immun-258,  MENUME,J07AH04,871871008,equivalent,Neisseria meningitidis serogroup A and C antigens only vaccine product,"Menomen (meningokokk kasalligiga qarshi polisaxaridli emlash, A va C seroguruhlari)","Меномен (полисахаридная вакцина против менингококковой инфекции, серогруппа A и C)",Menomune,,,,
immun-259,  MENVAX,J07AH08,871873006,source-is-narrower-than-target,"Vaccine product containing only Neisseria meningitidis serogroup A, C, W135 and Y antigens (medicinal product)","MencevaxACWY (meningokokk polisakkaridiga qarshi vaktsinalar A, C, W135 va Y seroguruhlari)","Менцевакс ACWY (менингококковая полисахаридная вакцина серогрупп A, C, W135 и Y)",Mencevax ACWY,,,,
immun-260,  MMR,J07BD52,871831003,equivalent,MMR (measles and mumps and rubella) vaccine,"MMR (qizamiq, parotit va qizilchaga qarshi emlash)","КПК (комбинированная вакцина против кори, паротита и краснухи)",MMR,,,,
immun-261,  MMRCSL,J07BD52,2241000221103,source-is-narrower-than-target, Vaccine product containing only live attenuated Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens (medicinal product),"M-M-RII (MMR vaktsinasining brend nomi, M-M-RII kabi)","М‑М‑Р II (торговая марка вакцины КПК, например, M‑M‑R II)",MMR II,,,,
immun-262,  MMRSKB,J07BD52,2241000221103,source-is-narrower-than-target,Vaccine product containing only live attenuated Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens (medicinal product),Priorix (GSK tomonidan ishlab chiqarilgan MMR vaktsinasi),Приорикс (КПК вакцина производства GSK),Priorix,,,,
immun-263,  MNTRX,J07AG52,836500008,source-is-narrower-than-target,Vaccine product containing only Haemophilus influenzae type b and Neisseria meningitidis serogroup C antigens (medicinal product),"Menitorix (konjugat meningokokk-irsiy vaktsina, ehtimol Menitorix - Hib va ​​meningokokkka qarshi)","ениторикс (конъюгированная менингококково-геникогенная вакцина, скорее всего, Menitorix — против Hib и менингококка)",Menitorix,,,,
immun-264,  NEISVC,J07AH07,871866001,source-is-narrower-than-target,Vaccine product containing only Neisseria meningitidis serogroup C antigen (medicinal product),NeisVac-C (meningokokk seroguruhi C ga qarshi konjugat vaktsina),НеисВак‑C (конъюгированная вакцина против менингококка серогруппы C),NeisVac-C,,,,
immun-265,  OPV,J07BF,871740006,equivalent,Inactivated whole Human poliovirus antigen only vaccine product,IPV/Poliomielit (poliomielitga qarshi emlash),ИПВ/Полио (вакцина против полиомиелита),Polio,,,,
immun-266,  P,J07AJ01,871758000,equivalent,Bordetella pertussis antigen only vaccine product,Ko'k yo'tal (ko'k yo'talga qarshi emlash),Коклюш (вакцина против коклюша),Pertussis,,,,
immun-267,  PANVAX,J07BB02,871772009,source-is-narrower-than-target,Vaccine product containing only Influenza A virus subtype H1N1 antigen (medicinal product),"Panvax (vaksina nomi - ehtimol kombinatsiya, aniq ma'lumotlar topilmadi)","Панвакс (название вакцины — возможно комбинированная, точные данные не найдены)",Panvax,,,,
immun-268,  PDCL,J07CA06,871740006,source-is-narrower-than-target,Inactivated whole Human poliovirus antigen only vaccine product,"Pediacel (beshlik vaktsina: difteriya, ko'kyo'tal, tetanoz, poliomielit, Hib)","Педиасел (пятикомпонентная вакцина: дифтерия, коклюш, столбняк, полиомиелит, Hib)",Pediacel,,,,
immun-269,  PLCL,J07CA02,871888001,source-is-narrower-than-target,Vaccine product containing only acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and inactivated whole Human poliovirus antigens (medicinal product),Polyacel (poliomielitga qarshi emlash; ehtimol IPV ga o'xshaydi),"Полиацел (вакцина от полиомиелита; вероятно, аналог IPV)",Poliacel,,,,
immun-270,  PNEUMO,J07AL01,981000221107,equivalent,Vaccine product containing only Streptococcus pneumoniae antigen (medicinal product),Pneumovax (pnevmokokka qarshi polisaxaridli vaktsina),Пневмовакс (полисахаридная вакцина против пневмококка),Pneumovax,,,,
immun-271,  PRPD,J07AG01,871764007,source-is-narrower-than-target,Vaccine product containing only Haemophilus influenzae type b antigen (medicinal product),ProHIBit (Haemophilus influenzae turi b - Hibga qarshi vaktsina),ПроХИБит (вакцина против Haemophilus influenzae типа b — Hib),ProHIBit,,,,
immun-272,  PROQAD,J07BD54,2251000221101,equivalent, Vaccine product containing only live attenuated Measles morbillivirus and Mumps orthorubulavirus and Rubella virus and Human alphaherpesvirus 3 antigens (medicinal product),"Proquad (qizamiq, parotit, qizilcha va suvchechakka qarshi to'rtta vaktsina)","Проквад (четырёхкомпонентная вакцина против кори, эпидемического паротита, краснухи и ветряной оспы)",ProQuad,,,,
immun-273,  PRPOMP,J07AG01,871764007,source-is-narrower-than-target,Vaccine product containing only Haemophilus influenzae type b antigen (medicinal product),PedvaxHib (Haemophilus influenzae b turiga qarshi konjugat vaktsina),Пэдвакс Hib (конъюгированная вакцина против Haemophilus influenzae типа b),PedvaxHIB,,,,
immun-274,  PRPT,J07AG01,871764007,source-is-narrower-than-target,Vaccine product containing only Haemophilus influenzae type b antigen (medicinal product),AktHIB (Hibga qarshi boshqa vaktsina),АктХИБ (еще одна вакцина против Hib),ActHIB,,,,
immun-275,  PRVNR,J07AL02,1052328007,equivalent,"Vaccine product containing only Streptococcus pneumoniae Danish serotype 4, 6B, 9V, 14, 18C, 19F, and 23F capsular polysaccharide antigens conjugated (medicinal product)","Prevenar7 (pnevmokokk konjugatli vaktsina, 7 valentli)","Превенар 7 (пневмококковая конъюгированная вакцина, 7‑валентная)",Prevenar 7,,,,
immun-276,  PRVTH,J07AL02,51451000087105,equivalent,"Vaccine product containing only Streptococcus pneumoniae Danish serotype 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, and 23F capsular polysaccharide antigens conjugated (medicinal product)","Prevenar13 (pnevmokokk konjugatli vaktsina, 13 valentli)","Превенар 13 (пневмококковая конъюгированная вакцина, 13‑валентная)",Prevenar 13,,,,
immun-277,  PRXTEX,J07BD54,2251000221101,equivalent,Vaccine product containing only live attenuated Measles morbillivirus and Mumps orthorubulavirus and Rubella virus and Human alphaherpesvirus 3 antigens (medicinal product),Priorix-Tetra (GSK dan to'rtta MMR + suvchechak vaktsinasi),Приорикс‑Тетра (четырёхкомпонентная вакцина КПК+ветрянка от GSK),Priorix-Tetra,,,,
immun-278,  QDCL,J07CA02,1381704004,equivalent,Vaccine product containing only acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus antigens (medicinal product),"Quadrasel (to'rtta vaktsina: difteriya, ko'kyo'tal, qoqshol, poliomielit)","Квадрасел (четырёхкомпонентная вакцина: дифтерия, коклюш, столбняк, полиомиелит)",Quadracel,,,,
immun-279,  ROTRIX,J07BH01,871761004,equivalent,Vaccine product containing only Rotavirus antigen (medicinal product),"Rotarix (rotavirusga qarshi og'iz vaktsinasi, monovalent vaktsina)","Ротарикс (оральная вакцина против ротавирусной инфекции, моновакцина)",Rotarix,,,,
immun-280,  ROTTEQ,J07BH02,1290764006,equivalent," Vaccine product containing only Human-bovine reassortant Rotavirus G1, G2, G3, G4, and P1A[8] antigens (medicinal product)","RotaTeq (rotavirusga qarshi og'iz vaktsinasi, besh valentli)","РотаТек (оральная вакцина против ротавируса, пентавалентная)",Rotateq,,,,
immun-281,  SYNFLX,J07AL02,1052330009,equivalent,"Vaccine product containing only Streptococcus pneumoniae Danish serotype 1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F, and 23F capsular polysaccharide antigens conjugated (medicinal product)","Synflorix (pnevmokokkka qarshi konjugat vaktsina, 10 valentli)","Синфлорикс (пневмококковая конъюгированная вакцина, 10‑валентная)",Synflorix,,,,
immun-282,  TCL,J07AJ52,871876003,equivalent,Vaccine product containing only acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens (medicinal product),"Ripasel (uchlik difteriya, ko'kyo'tal, qoqshol)","рипасел (трикомпонентная вакцина: дифтерия, коклюш, столбняк)",Tripacel,,,,
immun-283,  VAXGRP,J07BB02,1181000221105,source-is-narrower-than-target,Vaccine product containing only influenza virus antigen (medicinal product),Vaxigrip (inaktivlangan split grippga qarshi emlash),Ваксигрип (инактивированная сплит-вакцина против гриппа),Vaxigrip,,,,
immun-284,  VGRJNR,J07BB02,1181000221105,source-is-narrower-than-target,Vaccine product containing only influenza virus antigen (medicinal product),Vaxigrip Junior (grippga qarshi emlashning bolalar versiyasi),Ваксигрип Джуниор (детская версия вакцины против гриппа),Vaxigrip Junior,,,,
immun-285,  VLRIX,J07BK01,871919004,equivalent,"Vaccine product containing only Human alphaherpesvirus 3 antigen (medicinal product)
","Varilrix (jonli zaiflashtirilgan suvchechak vaktsinasi, Oka shtammi)","Варилрикс (живая аттенуированная вакцина против ветряной оспы, штамм Ока)",Varilrix,,,,
immun-286,  VRVAX,J07BK01,871919004,equivalent,"Vaccine product containing only Human alphaherpesvirus 3 antigen (medicinal product)
","Varivax (jonli suvchechak vaktsinasi, o'xshash - xuddi shu Oka shtammiga asoslangan)","Варивакс (живая вакцина против ветряной оспы, аналогическая – на основе того же штамма Ока)",Varivax,,,,
