Код,LOINC,Показатели UZ,Показатели RU,Long common name,Relationship,Единицы,Диапазон
lab-pan-U,,Immunoxemilyuminestsent tahlil (IXLA),Иммунохемилюминесцентный анализ (ИХЛА),Immunochemiluminescent analysis (IXLA),,,
lab-pan-378,10334-1,SA 125,CA 125,Cancer Ag 125 [Units/volume] in Serum or Plasma,,U/l,0-35
lab-pan-379,5195-03-01 00:00:00,HВsAg quant,HBsAg количественный,Hepatitis B virus surface Ag [Presence] in Serum,,iU/ml,"0-0,05"
lab-pan-380,13955-0,Anti-HCV,Антитела к вирусу гепатита C (Anti-HCV),Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay,,AU/ml,0-1
lab-pan-381,20448-7,Insulin,Инсулин,Insulin [Units/volume] in Serum or Plasma,,iU/ml,"2,7-24,8"
lab-pan-382,2484-04-01 00:00:00,Insulinga o'xshash o'sish omili (IGF-1),Инсулиноподобный фактор роста (IGF-1),Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,,ng/ml,11.4-505.0
lab-pan-383,2963-07-01 00:00:00,Somatotrop gormon (CH),Соматотропный гормон (СТГ),Somatotropin [Mass/volume] in Serum or Plasma,,ng/ml,0-11.2
lab-pan-384,2284-08-01 00:00:00,Foliyevaya kislota (FA),Фолиевая кислота (FA),Folate [Mass/volume] in Serum or Plasma,,ng/ml,"5,21-24"
lab-pan-385,62292-8,25-ON Vitamin D,25-ОН витамин D,25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma,,ng/ml,30-100
lab-pan-386,1834-1,Alfa-fetoprotein (CAFP),Альфа-фетопротеин (AFP),Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,,IU/ml,"6,05"
lab-pan-387,2639-03-01 00:00:00,Mioglobin,Миоглобин,Myoglobin [Mass/volume] in Serum or Plasma,,ng/ml,0-60
lab-pan-388,2132-09-01 00:00:00,Vitamin V 12,Витамин B12,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,,pg/ml,197-771
lab-pan-389,13965-9,Gomoctictein,Гомоцистеин,Homocysteine [Moles/volume] in Serum or Plasma,,,
lab-pan-390,2276-04-01 00:00:00,Ferritin,Ферритин,Ferritin [Mass/volume] in Serum or Plasma,,,
lab-pan-391,13969-1,Кreatinkinaza -МВ,Креатинкиназа-МВ (CK-MB),Creatine kinase.MB [Mass/volume] in Serum or Plasma,,,
lab-pan-392,10839-9,Troponin I,Тропонин I,Troponin I.cardiac [Mass/volume] in Serum or Plasma,,,
lab-pan-393,33959-8,Prokalsitonin,Прокальцитонин,Procalcitonin [Mass/volume] in Serum or Plasma,,,
lab-pan-394,2143-06-01 00:00:00,Kortizol,Кортизол,Cortisol [Mass/volume] in Serum or Plasma,,,
lab-pan-395,56888-1,HIV Ab/Ag Combi,Комбинированный тест на ВИЧ (HIV Ag/Ab Combo),HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay,,,
lab-pan-V,,Tandem mass-spektrometriya tahlili,Исследование методом тандемной масс-спектрометрии (MS/MS),Tandem mass spectrometry analysis,,,
lab-pan-396,20636-7,ALA(alanine),ALA (аланин),Alanine [Moles/volume] in Serum or Plasma,,150-961,мкмол/л
lab-pan-397,20637-5,ARG (arginine),ARG (аргинин),Arginine [Moles/volume] in Serum or Plasma,,5-100,мкмол/л
lab-pan-398,20640-9,CIT (sitruliv),CIT (цитруллин),Citrulline [Moles/volume] in Serum or Plasma,,4-65,мкмол/л
lab-pan-399,20644-1,GLY (glisin),GLY (глицин),Glycine [Moles/volume] in Serum or Plasma,,150-1500,мкмол/л
lab-pan-400,20649-0,LEU (leysin),LEU (лейцин),Leucine [Moles/volume] in Serum or Plasma,,60-368,мкмол/л
lab-pan-401,47700-0,MET(metionin),MET (метионин),Methionine [Moles/volume] in DBS,,6-60,мкмол/л
lab-pan-402,20652-4,ORN (оrnitin),ORN (орнитин),Ornithine [Moles/volume] in Serum or Plasma,,50-600,мкмол/л
lab-pan-403,14875-9,PHE (fenilalanin),PHE (фенилаланин),Phenylalanine [Moles/volume] in Serum or Plasma,,25-150,мкмол/л
lab-pan-404,47732-3,PRO (prolin),PRO (пролин),Proline [Moles/volume] in DBS,,100-645,мкмол/л
lab-pan-405,53231-7,SA (suksinilasiton),SA (сукцинилацетон),Succinylacetone [Moles/volume] in DBS,,0-2,мкмол/л
lab-pan-406,35571-9,TYR (tirozin),TYR (тирозин),Tyrosine [Moles/volume] in DBS,,20-220,мкмол/л
lab-pan-407,47799-2,VAL (valin),VAL (валин),Valine [Moles/volume] in DBS,,50-365,мкмол/л
lab-pan-408,38481-8,CO (erkin karnitin),CO (свободный карнитин),Carnitine free (C0) [Moles/volume] in DBS,,10-90,мкмол/л
lab-pan-409,50157-7,C2 (asetilkarnitil),C2 (ацетилкарнитин),Acetylcarnitine (C2) [Moles/volume] in DBS,,5-65,мкмол/л
lab-pan-410,53160-8,C3 (propionilkornitin),C3 (пропионилкарнитин),Propionylcarnitine (C3) [Moles/volume] in DBS,,"0,5-6,5",мкмол/л
lab-pan-411,53065-9,C4 (butirilkornitin),C4 (бутирилкарнитин),Butyrylcarnitine (C4) [Moles/volume] in DBS,,0-1,мкмол/л
lab-pan-412,67708-8,С4ОН/C3DC,C4OH/C3DC (гидроксибутирилкарнитин/малонилкарнитин),Malonylcarnitine (C3-DC)+3-Hydroxybutyrylcarnitine (C4-OH) [Moles/volume] in DBS,,"0-0,74",мкмол/л
lab-pan-413,42920-9,С5 (izovalerilkornitin),C5 (изовалерилкарнитин),Isovalerylcarnitine (C5) [Moles/volume] in DBS,,"0-0,6",мкмол/л
lab-pan-414,53170-7,С5:1(tiglilkornitin),C5:1 (тиглилкарнитин),Tiglylcarnitine (C5:1) [Moles/volume] in DBS,,"0-0,55",мкмол/л
lab-pan-415,67710-4,С5DC\C6OH,C5DC/C6OH (глутарилкарнитин/гидроксигексаноилкарнитин),Glutarylcarnitine (C5-DC)+3-Hydroxyhexanoylcarnitine (C6-OH) [Moles/volume] in DBS,,"0-0,45",мкмол/л
lab-pan-416,53181-4,C5OH\C4DC,C5OH/C4DC (гидроксиизовалерилкарнитин/сукцинилкарнитин),Methylmalonylcarnitine (C4-DC)/3-Hydroxyisovalerylcarnitine (C5-OH) [Molar ratio] in DBS,,"0-0,8",мкмол/л
lab-pan-417,45211-0,C6 (teksanoilkornitin),C6 (гексаноилкарнитин),Hexanoylcarnitine (C6) [Moles/volume] in DBS,,"0-0,24",мкмол/л
lab-pan-418,74628-9,C6DC (teksanoilkornitin),C6DC (адипоилкарнитин),Adipoylcarnitine (C6-DC) [Moles/volume] in DBS,,"0-0,5",мкмол/л
lab-pan-419,53175-6,C8 (оktanoilkornitin),C8 (октаноилкарнитин),Octanoylcarnitine (C8) [Moles/volume] in DBS,,"0-0,36",мкмол/л
lab-pan-420,53174-9,C8: 1(oktenoilkornitin),C8:1 (октеноилкарнитин),Octenoylcarnitine (C8:1) [Moles/volume] in DBS,,"0-0,4",мкмол/л
lab-pan-421,45197-1,C10 (dikanoilkornitin),C10 (деканоилкарнитин),Decanoylcarnitine (C10) [Moles/volume] in DBS,,"0-0,36",мкмол/л
lab-pan-422,45198-9,C10:1 (desinoilkornitin),C10:1 (деценоилкарнитин),Decenoylcarnitine (C10:1) [Moles/volume] in DBS,,"0-0,4",мкмол/л
lab-pan-423,53180-6,C10:2 (dekadienoilkornitin),C10:2 (декадиеноилкарнитин),Decadienoylcarnitine (C10:2) [Moles/volume] in DBS,,"0-0,4",мкмол/л
lab-pan-424,45199-7,C12 (dodekanoilkornitin),C12 (додеканоилкарнитин),Dodecanoylcarnitine (C12) [Moles/volume] in DBS,,"0-0,36",мкмол/л
lab-pan-425,45200-3,C12:1 (deodesenoikornitin),C12:1 (додеценоилкарнитин),Dodecenoylcarnitine (C12:1) [Moles/volume] in DBS,,"0-0,4",мкмол/л
lab-pan-426,58092-8,C1 (formilkarnitin),C1 (формилкарнитин),C1 (Formylcarnitine),Родитель,"0-0,45",мкмол/л
lab-pan-427,53191-3,C14:1 (tetradesenoilkornitin),C14:1 (тетрадценоилкарнитин),Tetradecenoylcarnitine (C14:1) [Moles/volume] in DBS,,"0-0,36",мкмол/л
lab-pan-428,53190-5,C14:2 (tetradekadienoilkornitin),C14:2 (тетрадцадиеноилкарнитин),Tetradecadienoylcarnitine (C14:2) [Moles/volume] in DBS,,"0-0,5",мкмол/л
lab-pan-429,50281-5,C14OH (3-gidroksi- tetradekadienoilkornitin),C14OH (3-гидрокситетрадеканоилкарнитин),3-Hydroxytetradecanoylcarnitine (C14-OH) [Moles/volume] in DBS,,"0-0,2",мкмол/л
lab-pan-430,41040-7,С16 (Palmitoylcarnitine),С16 (пальмитоилкарнитин),Palmitoylcarnitine (C16) [Moles/volume] in Blood,,"0,8-7,4",мкмол/л
lab-pan-431,,C16:1 (gексadetsenoil karnitin),С16:1 (гексадеценоилкарнитин),C16:1 (Hexadecenoylcarnitine),,"0-0,5",мкмол/л
lab-pan-432,50121-3,C16:1OH (3-gidroksi-gексadetsenoil karnitin),С16:1ОН (3-гидрокси-гексадеценоилкарнитин),3-Hydroxypalmitoleylcarnitine (C16:1-OH) [Moles/volume] in DBS,,"0-0,2",мкмол/л
lab-pan-433,53173-1,C16OH (3-gidroksi-gексadekanoil karnitin),C16OH (3-гидрокси-гекадеканоилкарнитин),3-Hydroxyhexanoylcarnitine (C6-OH) [Moles/volume] in DBS,,"0-0,2",мкмол/л
lab-pan-434,53241-6,C18 (stearoil karnitin),C18 (октадеканоилкарнитин),Stearoylcarnitine (C18) [Moles/volume] in DBS,,"0,5-2,1",мкмол/л
lab-pan-435,53202-8,C18:1 (oktadetsenoil karnitin),C18:1 (октадеценоилкарнитин),Oleoylcarnitine (C18:1) [Moles/volume] in DBS,,"0,5-3,2",мкмол/л
lab-pan-436,50113-0,C18:1OH (3-gidroksi-oktadetsenoil karnitin),C18:1OH (3-гидрокси-октадеценоилкарнитин),3-Hydroxyoleoylcarnitine (C18:1-OH) [Moles/volume] in DBS,,"0-0,2",мкмол/л
lab-pan-437,45217-7,C18:2 (linoleil karnitin),C18:2 (линолеилкарнитин),Linoleoylcarnitine (C18:2) [Moles/volume] in DBS,,"0-0,9",мкмол/л
lab-pan-438,50132-0,C18OH (3-gidroksi-oktadekanoil karnitin),C18OH (3-гидрокси-октадеканоилкарнитин),3-Hydroxystearoylcarnitine (C18-OH) [Moles/volume] in DBS,,"0-0,2",мкмол/л
lab-pan-W,24110-9,Vasserman reaksiyasiga qon tahlili va boshqalar (Zaxm uchun serologik reaksiyalar paneli),Анализ крови на реакцию Вассермана и другие (панель серологических реакций на сифилис),Treponema pallidum Ab [Presence] in Serum by Immunoassay,,,
lab-pan-439,5292-08-01 00:00:00,Vasserman bo'yicha natija,Результат по Вассерману,Reagin Ab [Presence] in Serum by VDRL,,,
lab-pan-440,5290-02-01 00:00:00,Kan natija,Результат по Кану,Reagin Ab [Presence] in Serum,,,
lab-pan-441,5290-02-01 00:00:00,Zaks vitebskiy natija,Результат по Заксу-Витебскому,Reagin Ab [Presence] in Serum,,,
lab-pan-442,5290-02-01 00:00:00,Zaks georgiy natija,Результат по Заксу-Георгию,Reagin Ab [Presence] in Serum,,,
lab-pan-443,,Meynik natija,Результат по Мейнику,Reagin Ab [Presence] in Serum,,,
lab-pan-X,,Klinik - diagnostik laboratoriya IXLA tahlili,"Клинико-диагностическая лаборатория, ИХЛА анализ","Clinical diagnostic laboratory, CLIA (chemiluminescent immunoassay) analysis",,,
lab-pan-444,10391-1,Cytomegalovirus Ig G,Цитомегаловирус (антитела IgG),Cytomegalovirus immune globulin given [Volume],,0-2,AU/ml
lab-pan-445,31411-2,Gerpes simplex virus1/2 Ig G,Вирус простого герпеса 1/2 типа (антитела IgG),Herpes simplex virus 1+2 IgG Ab [Units/volume] in Serum,,0-2,AU/ml
lab-pan-446,22580-5,Toxoplasma gondil Ig G,Токсоплазма (антитела IgG),Toxoplasma gondii IgG Ab [Presence] in Serum,,0-2,IU/ml
lab-pan-447,31302-3,Chlamedia pneumonia Ig G,Хламидия пневмонии (антитела IgG),Chlamydophila pneumoniae IgG Ab [Units/volume] in Serum,,<1 -neg >=1 +pos,AU/ml
lab-pan-448,46198-8,Mycoplasma hominis Ig G,Микоплазма хоминис (антитела IgG),Mycoplasma pneumoniae IgG Ab [Presence] in Serum,,"0,32",
lab-pan-449,17852-5,Ureaplasma urealyticum Ig G,Уреаплазма уреалитикум (антитела IgG),Ureaplasma urealyticum [Presence] in Specimen by Organism specific culture,,"0,3",
lab-pan-450,63379-2,Anti -dsDNA Ig G,Антитела к двуспиральной ДНК (IgG),DNA double strand IgG Ab [Presence] in Serum,,<30 -neg >=30 +pos,IU/ml
lab-pan-451,48586-2,Kollogen C IV,Коллаген IV типа,Collagen crosslinked C-telopeptide [Mass/volume] in Urine,,0-30,ng/ml
lab-pan-452,10474-5,Gialuronovaya kislota (NA),Гиалуроновая кислота,Collagen type 4 Ag [Presence] in Tissue by Immune stain,,0-100,ng/ml
lab-pan-453,2282-02-01 00:00:00,Foliyevaya kislota (FA),Фолиевая кислота,Folate [Mass/volume] in Blood,,"5,21-24",ng/ml
lab-pan-454,44389-5,Immunoglobulin Ig A,Иммуноглобулин A (IgA),IgA [Presence] in Serum,,1 yoshgacha: 0-842.0; 1-3 yosh: 197-1024; 4-6 yosh: 268-2007; 7-9 yosh: 335-3055; 10-11 yosh: 517-2053; 12-13 yosh: 563-3631; 14-15 yosh: 457-2547; 16-18 yosh: 603-3561; Kattalar: 745-4102.,mkg/ml
lab-pan-455,17009-2,Immunoglobulin Ig M,Иммуноглобулин M (IgM),IgM [Presence] in Serum,,400-2500,mkg/ml
lab-pan-456,17007-6,Immunoglobulin Ig G,Иммуноглобулин G (IgG),IgG [Presence] in Serum,,1 yoshgacha: 2296-14246; 1-3 yosh: 4483-9218; 4-6 yosh: 4962-14813; 7-9 yosh: 5591-14944; 10-11 yosh: 6940-15962; 12-13 yosh: 7455-15820; 14-15 yosh: 6965-17219; 16-18 yosh: 5472-16021; Kattalar: 7454-16878,mg/ml
lab-pan-457,42898-7,Anti-SSP (Anti-CCP),Антитела к циклическому цитруллинированному пептиду (Anti-CCP),Cyclic citrullinated peptide IgG Ab [Presence] in Serum,,<17 -neg; >=17 +pos,U/ml
lab-pan-458,62292-8,25-ON Vitamin D,25-ОН витамин D,25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma,,30-100,ng/ml
lab-pan-459,31993-9,Alfa-fetoprotein (CAFP),Альфа-фетопротеин (АФП),Alpha-1-Fetoprotein [Presence] in Serum or Plasma,,"6,05",IU/ml
lab-pan-460,7886-05-01 00:00:00,Epshteyn-Barr (EBV VCA IgM),Вирус Эпштейна–Барр (VCA IgM),Epstein Barr virus capsid IgM Ab [Units/volume] in Serum,,<3 -neg; >=3 -pos,AU/ml
lab-pan-461,32331-1,Mioglobin,Миоглобин,Myoglobin [Presence] in Serum or Plasma,,0-60,ng/ml
lab-pan-462,3051-0,FT3 (свободный),FT3 (свободный),Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,,"1-3 yosh: 1,81-5,01; 3-6 yosh: 2,08-5,20; 6-12 yosh: 1,90-4,94; 12-18 yosh: 2,51-4,92; Kattalar: 2,0-4,2.",pg/ml
lab-pan-463,3024-07-01 00:00:00,FT4 (свободный),FT4 (свободный),Thyroxine (T4) free [Mass/volume] in Serum or Plasma,,"1-3 yosh: 8,04-17,9; 3-6 yosh: 9,47-17,9;  6-12 yosh: 9,36-19,2; 12-18 yosh: 9,95-15,9; Kattalar: 8,9-17,2",pg/ml
lab-pan-464,3016-03-01 00:00:00,Tireotrop gormon (TTG/TSH) [Birlik/hajm],Tиреотропный гормон (ТТГ/TSH) [концентраци,Thyrotropin [Units/volume] in Serum or Plasma,,"1-3 yosh: 0,76-10,0; 3-6 yosh: 0,79-5,54; 6-12 yosh: 0,49-5,83; 12-18 yosh: 0,59-6,93; Kattalar: 0,3-4,5",mIU/ml
lab-pan-465,3051-0,Erkin triyodtironin (T3) [Zichlik],Свободный трийодтиронин (T3) [концентрация],Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,,"1-3 yosh: 0,27-2,48; 3-6 yosh: 0,59-2; 6-12 yosh:0,80-2,59; 12-18 yosh:0,97-2,22; Kattalar: 0,69-2,15",ng/ml
lab-pan-466,3024-07-01 00:00:00,Erkin tiroksin (T4) [Zichlik],Свободный тироксин (T4) [концентрация],Thyroxine (T4) free [Mass/volume] in Serum or Plasma,,"1-3 yosh: 60,5-141; 3-6 yosh: 59,1-115; 6-12 yosh: 48,1-125; 12-18 yosh: 53,1-102; Kattalar:52-127",ng/ml
,,,,,,197-771,pg/ml
,,,,,,1 yoshgacha: <15; 1-5 yosh: 60; 6-9 yosh: 90; 10-17 yosh: 200; Kattalar: 0-100,U/ml
lab-pan-467,29610-3,Gepatit V DNK(HVV) (sifatli),"Гепатит B ДНК(HBV), качественный",Hepatitis B virus DNA [Presence] in Serum or Plasma by NAA with probe detection,,,ME/ml
lab-pan-468,11011-4,"РНК вируса гепатита C (HCV), количественный",Gepatit S RNK (HCV) (miqdoriy),Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,,,ME/ml
lab-pan-469,35365-6,Laboratoriya diagnostika boʻlimi Vitamin -D,Витамин D (отдел лабораторной диагностики),Vitamin D+Metabolites [Mass/volume] in Serum or Plasma,,10ng/ml (kam)10-30 ng/ml (yetarli emas)30-100 ng/ml (yetarli),ng/ml
